"Format","AiM CSV File"
"Session","NO GPS"
"Vehicle","Pimp Mobile"
"Racer","Maries Mother"
"Championship","Your mom"
"Comment","2025-06-11"
"Date","Saturday, May 31, 2025"
"Time","5:29 PM"
"Sample Rate","20"
"Duration","186"
"Segment","Session"
"Beacon Markers","186"
"Segment Times","3:06.000"

"Time","Logger Temperature","External Voltage","Front Brake Pres","Rear Brake Pres","Gear Position","InlineAcc","LateralAcc","VerticalAcc","RollRate","PitchRate","YawRate","Luminosity","ECU RPM","ECU ECT","ECU IAT","ECU FUEL P","ECU MAP","ECU THROTTLE","ECU V BATT","EXHAUST LAMBDA"
"s","°C","V","bar","bar","gear","g","g","g","deg/s","deg/s","deg/s","%","rpm","°C","°C","bar","bar","%","V","lambda"

,"17.5000","13.0640","0.7998","0.3567","0.0000","-0.0088","-0.0079","-1.0029","-0.2233","0.2103","0.1598","74.1250","0.0000","57.0000","26.1000","3.1060","1.3420","44.5000","12.6000","2.4100"
,"17.5000","13.0640","0.7998","0.3567","0.0000","-0.0088","-0.0079","-1.0029","-0.2380","0.2052","0.1619","74.1250","0.0000","57.0000","26.1000","3.1060","1.3420","44.5000","12.6000","2.4100"
,"17.5000","13.0640","0.7998","0.3567","0.0000","-0.0088","-0.0079","-1.0029","-0.2390","0.2262","0.1360","74.1250","0.0000","57.0000","26.1000","3.1060","1.3420","44.5000","12.6000","2.4100"
,"17.5000","13.0640","0.7998","0.3567","0.0000","-0.0088","-0.0079","-1.0029","-0.2282","0.2319","0.0906","74.1250","0.0000","57.0000","26.1000","3.1060","1.3420","44.5000","12.6000","2.4100"
,"17.5000","13.0640","0.7998","0.3567","0.0000","-0.0088","-0.0079","-1.0029","-0.2174","0.2236","0.0482","74.1250","0.0000","57.0000","26.1000","3.1060","1.3420","44.5000","12.6000","2.4100"
,"17.5000","13.0640","0.7998","0.3567","0.0000","-0.0098","-0.0084","-1.0039","-0.2092","0.2200","0.0171","74.1250","0.0000","57.0000","26.1000","3.1060","1.3420","44.5000","12.6000","2.4100"
,"17.5000","13.0640","0.7998","0.3567","0.0000","-0.0059","-0.0098","-1.0063","-0.1949","0.2236","0.0057","74.1250","0.0000","57.0000","26.1000","3.1060","1.3420","44.5000","12.6000","2.4100"
,"17.5000","13.0640","0.7998","0.3567","0.0000","-0.0055","-0.0092","-1.0059","-0.1843","0.2261","0.0236","74.1250","0.0000","57.0000","26.1000","3.1060","1.3420","44.5000","12.6000","2.4100"
,"17.5000","13.0640","0.7998","0.3567","0.0000","-0.0084","-0.0043","-1.0091","-0.1829","0.2299","0.0520","74.1250","0.0000","57.0000","26.1000","3.1060","1.3420","44.5000","12.6000","2.4100"
,"17.5000","13.0640","0.7998","0.3567","0.0000","-0.0102","-0.0017","-1.0108","-0.1860","0.2344","0.0702","74.1250","0.0000","57.0000","26.1000","3.1060","1.3420","44.5000","12.6000","2.4100"
,"17.5000","13.0640","0.7702","0.3331","0.0000","-0.0099","-0.0034","-1.0068","-0.1886","0.2395","0.0776","74.1250","0.0000","57.0000","26.1000","3.1020","1.3420","44.5000","12.6000","2.4100"
,"17.5000","13.0640","0.7607","0.3346","0.0000","-0.0037","-0.0062","-1.0107","-0.1915","0.2530","0.0766","74.1250","45.0333","57.0000","26.1000","3.0970","1.3422","44.8733","11.9890","2.4100"
,"17.5012","13.0609","0.7966","0.3660","0.0000","0.0027","-0.0054","-1.0065","-0.1961","0.2594","0.0676","74.1242","152.2556","57.0000","26.1000","3.0831","1.3428","45.7622","11.3390","2.4100"
,"17.5102","13.0384","0.8233","0.3572","0.0000","0.0073","-0.0039","-1.0001","-0.1942","0.2513","0.0651","74.1182","226.4111","57.0000","26.1000","3.0732","1.3423","46.5478","11.5820","2.4146"
,"17.5191","13.0159","0.8228","0.3637","0.0000","-0.0032","-0.0044","-1.0064","-0.1805","0.2386","0.0644","74.1123","280.3000","57.0000","26.1000","3.0793","1.3412","47.2700","11.8820","2.4196"
,"17.5280","12.9934","0.8217","0.3843","0.0000","-0.0295","-0.0195","-1.0251","-0.1711","0.2291","0.0506","74.1063","340.5667","56.5300","26.1000","3.0834","1.3405","47.5822","11.9000","2.4200"
