"Format","AiM CSV File"
"Session","NO GPS"
"Vehicle","Pimp Mobile"
"Racer","Maries Mother"
"Championship","Your mom"
"Comment","2025-06-11"
"Date","Saturday, May 31, 2025"
"Time","12:32 PM"
"Sample Rate","20"
"Duration","19"
"Segment","Session"
"Beacon Markers","19"
"Segment Times","0:19.000"

"Time","Logger Temperature","External Voltage","Front Brake Pres","Rear Brake Pres","Gear Position","InlineAcc","LateralAcc","VerticalAcc","RollRate","PitchRate","YawRate","Luminosity","ECU RPM","ECU ECT","ECU IAT","ECU FUEL P","ECU MAP","ECU THROTTLE","ECU V BATT","EXHAUST LAMBDA"
"s","°C","V","bar","bar","gear","g","g","g","deg/s","deg/s","deg/s","%","rpm","°C","°C","bar","bar","%","V","lambda"

,"10.3984","13.7200","0.1841","0.2505","0.0000","0.0813","0.0978","-0.6104","-2.0078","-15.5078","-3.5391","185.1250","1705.0000","19.0000","7.6000","3.1340","1.2220","11.8000","13.0000","2.5500"
,"10.3984","13.7200","0.1841","0.2505","0.0000","0.0813","0.0978","-0.6104","-2.0664","-15.7383","-3.5908","185.1250","1705.0000","19.0000","7.6000","3.1340","1.2220","11.8000","13.0000","2.5500"
,"10.3984","13.7200","0.1841","0.2505","0.0000","0.0831","0.0935","-0.6143","-2.4863","-17.3594","-3.9453","185.1250","1705.0000","19.0000","7.6000","3.1340","1.2220","11.8000","13.0000","2.5500"
,"10.3984","13.7200","0.1596","0.2617","0.0000","0.0632","0.0333","-0.7244","-3.2891","-20.1484","-4.5059","185.1250","1705.0000","19.0000","7.6000","3.1340","1.2220","11.8000","13.0380","2.5500"
,"10.3984","13.7200","0.1244","0.2388","0.0000","-0.0185","0.0040","-0.9156","-3.7266","-20.6719","-4.4688","185.1250","1756.6222","19.0000","7.6000","3.1348","1.2248","11.9278","13.1380","2.5500"
,"10.3984","13.7200","0.1301","0.2346","0.0000","-0.0697","-0.0198","-1.0301","-3.2744","-16.8789","-3.4648","185.1250","1868.8445","19.0000","7.6000","3.1364","1.2309","12.2056","13.1808","2.5500"
,"10.3984","13.7200","0.1393","0.2646","0.0000","-0.0976","-0.0552","-1.0456","-2.3145","-11.0703","-2.0742","185.1250","2065.7666","19.0000","7.6000","3.1366","1.2158","12.1533","13.1303","2.5500"
,"10.3984","13.7200","0.1305","0.2891","0.0000","-0.1161","-0.1015","-0.9678","-1.3828","-5.9082","-0.8711","185.1250","2306.3223","19.0000","7.6000","3.1361","1.1897","11.9311","13.1198","2.5500"
,"10.3984","13.7210","0.1689","0.2606","0.0000","-0.0203","-0.0329","-1.0004","-0.7462","-2.5400","-0.0841","185.1250","2325.1890","19.0000","7.6478","3.1370","1.1817","11.4222","13.1693","2.5500"
,"10.3984","13.7263","0.1773","0.2564","0.0000","-0.0645","-0.0470","-0.9597","-0.4100","-0.7970","0.3236","185.1250","2299.0667","19.0000","7.6967","3.1382","1.1781","10.8933","13.1620","2.5500"
,"10.3984","13.7316","0.1714","0.2518","0.0000","-0.0323","-0.0910","-0.9256","-0.2882","-0.0520","0.4862","185.1250","2133.5112","19.0000","7.6411","3.1409","1.1970","10.7822","13.0620","2.5500"
,"10.3984","13.7370","0.1706","0.2432","0.0000","-0.0026","-0.0710","-0.9340","-0.2673","0.1848","0.5301","185.1250","2071.2334","19.0000","7.6000","3.1423","1.2026","10.8878","13.0576","2.5500"
,"10.3984","13.7423","0.1572","0.2449","0.0000","0.0654","-0.0791","-0.9405","-0.2490","0.2361","0.5348","185.1250","2302.8999","19.0000","7.6000","3.1395","1.1704","11.6100","13.2091","2.5500"
,"10.3984","13.7476","0.1423","0.2492","0.0000","0.0058","-0.0113","-1.0380","-0.2298","0.2437","0.5104","185.1250","2419.8223","19.0000","7.6000","3.1380","1.1586","11.9489","13.2800","2.5500"
,"10.3984","13.7530","0.1379","0.2507","0.0000","0.0284","-0.0085","-1.0397","-0.2229","0.2672","0.4939","185.1250","2402.0444","19.0000","7.6000","3.1380","1.1708","11.8378","13.2300","2.5500"
