"Format","AiM CSV File"
"Session","NO GPS"
"Vehicle","Pimp Mobile"
"Racer","Maries Mother"
"Championship","Your mom"
"Comment","2025-06-11"
"Date","Saturday, May 31, 2025"
"Time","2:29 PM"
"Sample Rate","20"
"Duration","31"
"Segment","Session"
"Beacon Markers","31"
"Segment Times","0:31.000"

"Time","Logger Temperature","External Voltage","Front Brake Pres","Rear Brake Pres","Gear Position","InlineAcc","LateralAcc","VerticalAcc","RollRate","PitchRate","YawRate","Luminosity","ECU RPM","ECU ECT","ECU IAT","ECU FUEL P","ECU MAP","ECU THROTTLE","ECU V BATT","EXHAUST LAMBDA"
"s","°C","V","bar","bar","gear","g","g","g","deg/s","deg/s","deg/s","%","rpm","°C","°C","bar","bar","%","V","lambda"

,"11.8984","11.4400","0.1165","0.3489","0.0000","0.0117","0.0096","-1.0029","-0.2267","0.2805","0.2974","50.8750","64.0000","52.0000","13.6000","3.1100","1.3490","0.0000","12.4000","0.9500"
,"11.8984","11.4400","0.1165","0.3489","0.0000","0.0117","0.0096","-1.0029","-0.2264","0.2800","0.3085","50.8750","64.0000","52.0000","13.6000","3.1100","1.3490","0.0000","12.4000","0.9500"
,"11.8984","11.4400","0.1165","0.3489","0.0000","0.0081","0.0079","-1.0038","-0.2322","0.2744","0.3086","50.8750","64.0000","52.0000","13.6000","3.1100","1.3490","0.0000","12.4000","0.9500"
,"11.8984","11.4400","0.1165","0.3489","0.0000","-0.0029","0.0043","-1.0065","-0.2410","0.2729","0.2938","50.8750","64.0000","52.0000","13.6000","3.1100","1.3490","0.0000","12.4000","0.9500"
,"11.8984","11.4400","0.1165","0.3489","0.0000","-0.0045","0.0079","-1.0124","-0.2458","0.2695","0.2698","50.8750","64.0000","52.0000","13.6000","3.1100","1.3490","0.0000","12.4000","0.9500"
,"11.8984","11.4400","0.1165","0.3489","0.0000","-0.0002","0.0116","-1.0137","-0.2473","0.2538","0.2584","50.8750","64.0000","52.0000","13.6000","3.1100","1.3490","0.0000","12.4000","0.9500"
,"11.8984","11.4400","0.1165","0.3489","0.0000","0.0012","0.0121","-1.0137","-0.2410","0.2358","0.2554","50.8750","64.0000","52.0000","13.6000","3.1100","1.3490","0.0000","12.4000","0.9500"
,"11.8984","11.4400","0.1042","0.3578","0.0000","0.0023","0.0124","-1.0150","-0.2268","0.2202","0.2516","50.8750","64.0000","52.0000","13.6000","3.1100","1.3490","0.0000","12.4000","0.9500"
,"11.8984","11.4400","0.0989","0.3780","0.0000","0.0124","0.0126","-1.0165","-0.2158","0.2078","0.2558","50.8750","43.3778","52.0000","13.6000","3.1100","1.3480","0.0000","12.4000","0.9500"
,"11.8984","11.4400","0.1129","0.3723","0.0000","0.0121","0.0062","-1.0195","-0.2169","0.2138","0.2682","50.8750","7.8222","52.0000","13.6000","3.1113","1.3464","0.0000","12.4000","0.9476"
,"11.8984","11.4400","0.1161","0.3519","0.0000","0.0056","0.0067","-1.0163","-0.2109","0.2295","0.2741","50.8750","0.0000","52.0000","13.6433","3.1129","1.3443","0.0000","12.4000","0.9426"
,"11.8984","11.4400","0.0872","0.3329","0.0000","0.0012","0.0073","-1.0145","-0.1877","0.2372","0.2503","50.8750","0.0000","52.0000","13.6989","3.1146","1.3420","0.0000","12.4250","0.9400"
,"11.8984","11.4400","0.0986","0.3486","0.0000","0.0015","0.0054","-1.0114","-0.1629","0.2187","0.2129","50.8750","0.0000","52.0000","13.7000","3.1157","1.3420","0.0000","12.4750","0.9400"
,"11.8984","11.4400","0.1178","0.3676","0.0000","0.0056","0.0079","-1.0120","-0.1522","0.1839","0.1969","50.8750","0.0000","52.0000","13.7000","3.1141","1.3426","0.0000","12.4750","0.9400"
,"11.8984","11.4400","0.1176","0.3509","0.0000","0.0041","0.0131","-1.0146","-0.1590","0.1692","0.1954","50.8750","0.0000","52.0000","13.7000","3.1128","1.3459","0.0000","12.4250","0.9400"
,"11.8984","11.4400","0.1349","0.3744","0.0000","0.0035","0.0074","-1.0146","-0.1746","0.1879","0.2093","50.8750","0.0000","52.0000","13.7000","3.1122","1.3480","0.0000","12.4250","0.9400"
