"Format","AiM CSV File"
"Session","NO GPS"
"Vehicle","Pimp Mobile"
"Racer","Maries Mother"
"Championship","Your mom"
"Comment","2025-06-11"
"Date","Saturday, May 31, 2025"
"Time","4:19 PM"
"Sample Rate","20"
"Duration","97"
"Segment","Session"
"Beacon Markers","97"
"Segment Times","1:37.000"

"Time","Logger Temperature","External Voltage","Front Brake Pres","Rear Brake Pres","Gear Position","InlineAcc","LateralAcc","VerticalAcc","RollRate","PitchRate","YawRate","Luminosity","ECU RPM","ECU ECT","ECU IAT","ECU FUEL P","ECU MAP","ECU THROTTLE","ECU V BATT","EXHAUST LAMBDA"
"s","°C","V","bar","bar","gear","g","g","g","deg/s","deg/s","deg/s","%","rpm","°C","°C","bar","bar","%","V","lambda"

,"17.6875","13.1520","10.9688","12.6641","2.0000","-0.0027","-0.0128","-1.0049","-0.0845","0.0570","0.2544","47.1562","0.0000","62.0000","16.2000","3.1090","1.3380","0.0000","12.7000","0.8000"
,"17.6875","13.1520","10.9688","12.6641","2.0000","-0.0027","-0.0128","-1.0049","-0.1067","0.0285","0.2780","47.1562","0.0000","62.0000","16.2000","3.1090","1.3380","0.0000","12.7000","0.8000"
,"17.6875","13.1520","10.9688","12.6641","2.0000","-0.0027","-0.0128","-1.0049","-0.1307","0.0114","0.2944","47.1562","0.0000","62.0000","16.2000","3.1090","1.3380","0.0000","12.7000","0.8000"
,"17.6875","13.1520","10.9688","12.6641","2.0000","-0.0027","-0.0128","-1.0049","-0.1399","0.0084","0.3030","47.1562","0.0000","62.0000","16.2000","3.1090","1.3380","0.0000","12.7000","0.8000"
,"17.6875","13.1520","10.9688","12.6641","2.0000","-0.0027","-0.0128","-1.0049","-0.1318","0.0271","0.3120","47.1562","0.0000","62.0000","16.2000","3.1090","1.3380","0.0000","12.7000","0.8000"
,"17.6875","13.1520","10.9688","12.6641","2.0000","-0.0027","-0.0121","-1.0072","-0.1169","0.0526","0.3092","47.1562","0.0000","62.0000","16.2000","3.1090","1.3380","0.0000","12.7000","0.8000"
,"17.6875","13.1520","10.9688","12.6641","2.0000","-0.0009","-0.0127","-1.0104","-0.1166","0.0627","0.3037","47.1562","0.0000","62.0000","16.2000","3.1090","1.3380","0.0000","12.7000","0.8000"
,"17.6875","13.1520","10.9688","12.6641","2.0000","0.0013","-0.0137","-1.0080","-0.1353","0.0550","0.3154","47.1562","0.0000","62.0000","16.2000","3.1090","1.3380","0.0000","12.7000","0.8000"
,"17.6875","13.1520","10.9688","12.6641","2.0000","0.0055","-0.0099","-1.0071","-0.1474","0.0451","0.3264","47.1562","0.0000","62.0000","16.2000","3.1090","1.3379","0.0000","12.7000","0.8000"
,"17.6875","13.1520","10.8598","12.5487","2.0000","0.0044","-0.0060","-1.0070","-0.1308","0.0407","0.3188","47.1562","0.0000","61.9100","16.2000","3.1090","1.3368","0.0000","12.6910","0.8000"
,"17.6875","13.1520","10.7206","12.3825","2.0000","-0.0028","-0.0079","-1.0071","-0.1060","0.0567","0.3042","47.1562","0.0000","61.4100","16.2000","3.1084","1.3360","0.0000","12.6410","0.8000"
,"17.6875","13.1520","10.5672","12.1337","2.0000","-0.0085","-0.0114","-1.0070","-0.0909","0.0805","0.2787","47.1562","0.0000","61.0900","16.2000","3.1081","1.3360","0.0000","12.6090","0.8000"
,"17.6875","13.1520","10.4814","12.0219","2.0000","-0.0072","-0.0148","-1.0036","-0.0837","0.0896","0.2518","47.1562","0.0000","61.5900","16.2256","3.1087","1.3375","0.0000","12.6590","0.8000"
,"17.6875","13.1520","10.4239","11.9822","2.0000","-0.0070","-0.0180","-1.0064","-0.0887","0.0918","0.2335","47.1562","0.0000","62.0000","16.2811","3.1090","1.3409","0.0000","12.7000","0.8000"
,"17.6875","13.1520","10.4141","12.0086","2.0000","-0.0069","-0.0136","-1.0088","-0.0942","0.1110","0.2173","47.1562","0.0000","62.0000","16.3000","3.1090","1.3424","0.0000","12.7000","0.8000"
,"17.6875","13.1520","10.3948","11.9516","2.0000","-0.0056","-0.0109","-1.0070","-0.0901","0.1259","0.2189","47.1562","0.0000","62.0000","16.3000","3.1090","1.3429","0.0000","12.7000","0.8000"
