"Format","AiM CSV File"
"Session","NO GPS"
"Vehicle","Pimp Mobile"
"Racer","Maries Mother"
"Championship","Your mom"
"Comment","2025-06-11"
"Date","Sunday, June 1, 2025"
"Time","5:25 PM"
"Sample Rate","20"
"Duration","10"
"Segment","Session"
"Beacon Markers","10"
"Segment Times","0:10.000"

"Time","Logger Temperature","External Voltage","Front Brake Pres","Rear Brake Pres","Gear Position","InlineAcc","LateralAcc","VerticalAcc","RollRate","PitchRate","YawRate","Luminosity","ECU RPM","ECU ECT","ECU IAT","ECU FUEL P","ECU MAP","ECU THROTTLE","ECU V BATT","EXHAUST LAMBDA"
"s","°C","V","bar","bar","gear","g","g","g","deg/s","deg/s","deg/s","%","rpm","°C","°C","bar","bar","%","V","lambda"

,"16.6875","11.9520","0.2015","0.2866","0.0000","0.0065","-0.0045","-1.0137","-0.0581","0.0818","0.5771","15.2578","0.0000","27.0000","14.9000","3.1200","1.3610","41.4000","12.6000","2.5500"
,"16.6875","11.9520","0.2015","0.2866","0.0000","0.0065","-0.0045","-1.0137","-0.0606","0.0804","0.5710","15.2578","0.0000","27.0000","14.9000","3.1200","1.3610","41.4000","12.6000","2.5500"
,"16.6875","11.9520","0.2015","0.2866","0.0000","0.0070","-0.0045","-1.0127","-0.0649","0.0884","0.5781","15.2578","0.0000","27.0000","14.9000","3.1200","1.3610","41.4000","12.6000","2.5500"
,"16.6875","11.9520","0.2015","0.2866","0.0000","0.0067","-0.0060","-1.0141","-0.0670","0.0892","0.5879","15.2578","0.0000","27.0000","14.9000","3.1200","1.3610","41.4000","12.6000","2.5500"
,"16.6875","11.9520","0.2015","0.2866","0.0000","0.0024","-0.0093","-1.0146","-0.0648","0.0867","0.5947","15.2578","0.0000","27.0000","14.9000","3.1200","1.3610","41.4000","12.6000","2.5500"
,"16.6875","11.9520","0.2015","0.2866","0.0000","0.0041","-0.0097","-1.0113","-0.0727","0.0981","0.5906","15.2578","0.0000","27.0000","14.9000","3.1200","1.3610","41.4000","12.6000","2.5500"
,"16.6875","11.9520","0.2015","0.2866","0.0000","0.0099","-0.0047","-1.0088","-0.0886","0.1171","0.5742","15.2578","0.0000","27.0000","14.9000","3.1200","1.3610","41.4000","12.6000","2.5500"
,"16.6875","11.9520","0.1483","0.2909","0.0000","0.0119","-0.0042","-1.0098","-0.1037","0.1308","0.5583","15.2578","0.0000","27.0000","14.9000","3.1200","1.3610","41.4000","12.0330","2.5500"
,"16.6875","11.9520","0.1220","0.2863","0.0000","0.0125","-0.0077","-1.0137","-0.1146","0.1316","0.5391","15.2578","4.0000","27.0000","14.9000","3.1147","1.3603","40.9333","10.9830","2.5500"
,"16.6875","11.9520","0.1375","0.3030","0.0000","0.0191","-0.0173","-1.0098","-0.1067","0.1105","0.4952","15.2578","10.6667","27.0000","14.9000","3.1058","1.3592","40.1556","10.7700","2.5500"
,"16.6875","11.9520","0.1556","0.3056","0.0000","0.0438","-0.0066","-1.0069","-0.0826","0.0733","0.4497","15.2578","119.5556","27.0000","14.9000","3.0987","1.3452","40.1333","11.2700","2.5500"
,"16.6875","11.9520","0.1807","0.3004","0.0000","0.0401","0.0042","-1.0086","-0.0562","0.0369","0.4452","15.2578","254.0000","27.0000","14.9000","3.0920","1.3280","40.3000","11.5540","2.5500"
,"16.6875","11.9520","0.1903","0.2962","0.0000","0.0079","-0.0074","-1.0175","-0.0481","0.0331","0.4727","15.2578","326.7778","27.0000","14.9000","3.0914","1.3302","40.6889","11.6540","2.5500"
,"16.6875","11.9520","0.1818","0.3005","0.0000","-0.0093","-0.0197","-1.0052","-0.0462","0.0549","0.5059","15.2578","387.6667","27.0000","14.9000","3.0916","1.3333","41.0444","11.6730","2.5500"
,"16.6875","11.9520","0.1738","0.3015","0.0000","-0.0159","-0.0191","-0.9995","-0.0406","0.0676","0.5264","15.2578","401.0000","27.0000","14.9000","3.0943","1.3400","41.2667","11.6230","2.5500"
,"16.6875","11.9520","0.1564","0.2890","0.0000","0.0033","-0.0053","-1.0010","-0.0529","0.0571","0.5386","15.2578","408.3333","27.0000","14.9000","3.0969","1.3460","41.3778","11.6270","2.5500"
