"Format","AiM CSV File"
"Session","NO GPS"
"Vehicle","Pimp Mobile"
"Racer","Maries Mother"
"Championship","Your mom"
"Comment","2025-06-11"
"Date","Sunday, June 1, 2025"
"Time","10:39 AM"
"Sample Rate","20"
"Duration","98"
"Segment","Session"
"Beacon Markers","98"
"Segment Times","1:38.000"

"Time","Logger Temperature","External Voltage","Front Brake Pres","Rear Brake Pres","Gear Position","InlineAcc","LateralAcc","VerticalAcc","RollRate","PitchRate","YawRate","Luminosity","ECU RPM","ECU ECT","ECU IAT","ECU FUEL P","ECU MAP","ECU THROTTLE","ECU V BATT","EXHAUST LAMBDA"
"s","°C","V","bar","bar","gear","g","g","g","deg/s","deg/s","deg/s","%","rpm","°C","°C","bar","bar","%","V","lambda"

,"11.1953","11.7680","-0.0060","0.3650","0.0000","0.0176","-0.0051","-1.0166","-0.2664","0.2886","0.3079","39.1250","275.0111","39.0000","12.1000","3.0840","1.3439","1.4056","11.3480","2.5500"
,"11.1976","11.7794","-0.0365","0.3640","0.0000","0.0273","-0.0007","-1.0098","-0.2667","0.3258","0.3269","39.1321","315.5667","39.0000","12.1000","3.0835","1.3506","1.6833","11.4480","2.5500"
,"11.2073","11.8270","-0.0346","0.3607","0.0000","0.0225","-0.0077","-1.0011","-0.2539","0.3533","0.3379","39.1619","286.6667","39.0000","12.1000","3.0834","1.3515","2.0133","11.5240","2.5500"
,"11.2170","11.8747","-0.0036","0.3441","0.0000","0.0067","-0.0133","-1.0000","-0.2271","0.3551","0.3540","39.1917","254.1889","39.0000","12.1000","3.0862","1.3521","2.3000","11.5740","2.5500"
,"11.2267","11.9223","0.0372","0.3479","0.0000","0.0216","-0.0036","-1.0078","-0.1956","0.3472","0.3616","39.2214","226.9667","39.0000","12.1000","3.0880","1.3526","2.3000","11.5760","2.5500"
,"11.2363","11.9699","0.0155","0.3257","0.0000","0.0349","0.0053","-1.0146","-0.1752","0.3485","0.3507","39.2512","210.5111","39.0000","12.1000","3.0880","1.3532","2.1300","11.5260","2.5500"
,"11.2460","12.0175","-0.0293","0.3222","0.0000","0.0321","-0.0075","-1.0088","-0.1690","0.3476","0.3278","39.2810","214.9556","39.0000","12.1000","3.0880","1.3537","1.6300","11.4760","2.5500"
,"11.2557","12.0651","-0.0286","0.3504","0.0000","0.0141","-0.0168","-1.0088","-0.1841","0.3391","0.3058","39.3107","255.7000","39.0000","12.1000","3.0880","1.3507","1.3400","11.4260","2.5500"
,"11.2653","12.1128","-0.0277","0.3617","0.0000","0.0189","-0.0077","-1.0126","-0.2194","0.3410","0.2906","39.3405","327.3667","39.0000","12.1000","3.0880","1.3446","1.2289","11.4480","2.5500"
,"11.2750","12.1604","-0.0259","0.3394","0.0000","0.0552","0.0009","-1.0020","-0.2540","0.3567","0.2844","39.3702","346.0000","39.0000","12.1000","3.0880","1.3381","1.4056","11.5480","2.5500"
,"11.2847","12.2080","-0.0259","0.3235","0.0000","0.0725","0.0041","-0.9984","-0.2604","0.3725","0.2916","39.4000","346.0000","39.0000","12.1000","3.0890","1.3314","1.6833","11.5760","2.5500"
,"11.2944","12.2556","-0.0322","0.3335","0.0000","0.0479","0.0076","-1.0033","-0.2529","0.3663","0.3022","39.4298","327.2000","39.0000","12.1000","3.0900","1.3289","2.0133","11.5260","2.5500"
,"11.3040","12.3032","0.0015","0.3260","0.0000","0.0201","-0.0063","-1.0039","-0.2444","0.3244","0.3200","39.4595","312.1778","39.0000","12.1000","3.0900","1.3273","2.2533","11.4520","2.5500"
,"11.3137","12.3509","0.0523","0.3551","0.0000","0.0456","-0.0142","-0.9910","-0.2277","0.2672","0.3346","39.4893","327.7333","39.0000","12.1000","3.0896","1.3295","1.9200","11.3520","2.5500"
,"11.3234","12.3985","0.0335","0.3424","0.0000","0.0611","0.0013","-0.9951","-0.2073","0.2311","0.3427","39.5190","443.0222","39.0000","12.1000","3.0885","1.3268","1.6056","11.3480","2.5500"
,"11.3331","12.4461","0.0071","0.3126","0.0000","0.0616","0.0194","-1.0312","-0.1960","0.2253","0.3656","39.5488","751.9111","39.0000","12.1000","3.0892","1.3146","1.3278","11.4480","2.5500"
,"11.3427","12.4937","-0.0115","0.3209","0.0000","0.0282","-0.0219","-0.9875","-0.1926","0.2472","0.4072","39.5786","1083.6000","39.0000","12.1000","3.0914","1.2928","1.2000","11.5720","2.5500"
,"11.3524","12.5413","0.0009","0.3334","0.0000","-0.0313","-0.0516","-0.9606","-0.1994","0.2608","0.4313","39.6083","1434.7111","39.0000","12.1000","3.0949","1.2628","1.2000","11.7220","2.5500"
,"11.3621","12.5890","0.0311","0.3276","0.0000","-0.0619","-0.0172","-1.0029","-0.2100","0.2429","0.4107","39.6381","1746.3556","39.0000","12.0589","3.0988","1.2279","1.4878","11.8720","2.5500"
,"11.3717","12.6366","0.0111","0.3130","0.0000","-0.0929","0.0035","-0.9788","-0.2112","0.2388","0.3800","39.6679","2044.1333","39.0000","12.0033","3.1006","1.1912","1.8767","12.0220","2.5500"
,"11.3814","12.6842","0.0310","0.3121","0.0000","-0.0463","-0.0357","-0.9419","-0.2027","0.2552","0.3656","39.6976","2147.1223","39.0000","12.0522","3.1025","1.1613","2.1089","12.1480","2.5316"
,"11.3911","12.7318","0.0396","0.3339","0.0000","-0.0247","-0.0694","-0.9468","-0.1992","0.2500","0.3698","39.7274","2250.0444","39.0000","12.1000","3.1058","1.1319","2.2222","12.2480","2.4916"
,"11.3961","12.7692","0.0265","0.3456","0.0000","0.0000","-0.0649","-0.9385","-0.1887","0.2034","0.4074","39.7557","2428.9333","39.0000","12.1000","3.1088","1.1024","1.6667","12.3000","2.2584"
,"11.3864","12.7741","0.0533","0.3590","0.0000","-0.0020","-0.0085","-1.0308","-0.1564","0.1614","0.4724","39.7795","2595.7334","39.0000","12.1000","3.1110","1.0770","1.2622","12.3000","1.7984"
