"Format","AiM CSV File"
"Session","NO GPS"
"Vehicle","Pimp Mobile"
"Racer","Maries Mother"
"Championship","Your mom"
"Comment","2025-06-11"
"Date","Sunday, June 1, 2025"
"Time","4:29 PM"
"Sample Rate","20"
"Duration","108"
"Segment","Session"
"Beacon Markers","108"
"Segment Times","1:48.000"

"Time","Logger Temperature","External Voltage","Front Brake Pres","Rear Brake Pres","Gear Position","InlineAcc","LateralAcc","VerticalAcc","RollRate","PitchRate","YawRate","Luminosity","ECU RPM","ECU ECT","ECU IAT","ECU FUEL P","ECU MAP","ECU THROTTLE","ECU V BATT","EXHAUST LAMBDA"
"s","°C","V","bar","bar","gear","g","g","g","deg/s","deg/s","deg/s","%","rpm","°C","°C","bar","bar","%","V","lambda"

,"17.0938","12.2080","0.0300","0.1841","0.0000","0.0141","-0.0061","-1.0059","-0.0677","0.1318","0.2323","13.8828","254.0000","33.0000","14.6000","3.0920","1.3470","96.2000","11.5000","0.9700"
,"17.0938","12.2080","0.0300","0.1841","0.0000","0.0111","-0.0070","-1.0059","-0.0738","0.1434","0.2316","13.8828","254.0000","33.0000","14.6000","3.0920","1.3470","96.2000","11.5000","0.9700"
,"17.0938","12.2080","0.0300","0.1841","0.0000","0.0099","-0.0093","-1.0010","-0.0890","0.1950","0.2089","13.8828","254.0000","33.0000","14.6000","3.0920","1.3470","96.2000","11.5000","0.9700"
,"17.0938","12.2080","0.0300","0.1841","0.0000","0.0064","-0.0099","-1.0029","-0.1074","0.2646","0.1786","13.8828","254.0000","33.0000","14.6000","3.0920","1.3470","96.2000","11.5000","0.9700"
,"17.0938","12.2080","0.0300","0.1841","0.0000","-0.0004","-0.0065","-1.0028","-0.1278","0.2997","0.1698","13.8828","254.0000","33.0000","14.6000","3.0920","1.3470","96.2000","11.5000","0.9700"
,"17.0938","12.2080","0.0300","0.1841","0.0000","-0.0015","-0.0038","-1.0082","-0.1405","0.2735","0.1654","13.8828","254.0000","33.0000","14.6000","3.0920","1.3470","96.2000","11.5000","0.9700"
,"17.0938","12.2080","0.0370","0.1819","0.0000","-0.0099","0.0083","-1.0080","-0.1269","0.2154","0.1458","13.8828","258.2990","33.0000","14.6000","3.0920","1.3472","96.2588","11.4800","0.9700"
,"17.0938","12.2080","0.0788","0.1647","0.0000","-0.0227","0.0113","-0.9989","-0.0983","0.1505","0.1368","13.8828","329.9485","33.0000","14.6000","3.0920","1.3514","97.2381","11.4300","0.9700"
,"17.0938","12.2080","0.0747","0.1430","0.0000","-0.0327","-0.0038","-1.0012","-0.0845","0.1061","0.1671","13.8828","387.2000","33.0000","14.6000","3.0925","1.3553","98.1000","11.3796","0.9700"
,"17.0938","12.2080","0.0969","0.1669","0.0000","-0.0069","-0.0076","-1.0083","-0.0871","0.1043","0.2144","13.8828","338.8667","33.0000","14.6000","3.0964","1.3575","98.1000","11.3286","0.9700"
,"17.0938","12.2080","0.0499","0.1776","0.0000","0.0174","-0.0066","-1.0056","-0.0868","0.1296","0.2267","13.8828","325.6129","33.0000","14.6000","3.0992","1.3581","98.0656","11.3647","0.9720"
,"17.0938","12.2080","0.0476","0.1606","0.0000","0.0387","-0.0106","-1.0212","-0.0694","0.1396","0.1979","13.8828","386.9032","33.0000","14.6000","3.0997","1.3555","97.9581","11.5118","0.9769"
,"17.0938","12.2080","0.1069","0.1711","0.0000","0.0220","-0.0096","-1.0294","-0.0458","0.1296","0.1688","13.8828","405.7732","33.0000","14.6000","3.1007","1.3528","97.1649","11.6000","0.9800"
,"17.0938","12.2080","0.0751","0.1393","0.0000","-0.0220","-0.0170","-1.0145","-0.0447","0.1226","0.1600","13.8828","374.8454","33.0000","14.6000","3.1023","1.3502","95.5670","11.6000","0.9800"
,"17.0938","12.2080","0.0622","0.1272","0.0000","-0.0181","-0.0117","-1.0041","-0.0550","0.1175","0.1580","13.8828","378.4516","33.0000","14.6000","3.1022","1.3512","95.4151","11.6223","0.9800"
,"17.0938","12.2080","0.0940","0.1928","0.0000","-0.0094","-0.0022","-1.0008","-0.0554","0.1063","0.1493","13.8828","413.9355","33.0000","14.6000","3.1005","1.3555","96.5978","11.6709","0.9800"
