"Format","AiM CSV File"
"Session","NO GPS"
"Vehicle","Pimp Mobile"
"Racer","Maries Mother"
"Championship","Your mom"
"Comment","2025-06-11"
"Date","Sunday, June 1, 2025"
"Time","12:07 PM"
"Sample Rate","20"
"Duration","65"
"Segment","Session"
"Beacon Markers","65"
"Segment Times","1:05.000"

"Time","Logger Temperature","External Voltage","Front Brake Pres","Rear Brake Pres","Gear Position","InlineAcc","LateralAcc","VerticalAcc","RollRate","PitchRate","YawRate","Luminosity","ECU RPM","ECU ECT","ECU IAT","ECU FUEL P","ECU MAP","ECU THROTTLE","ECU V BATT","EXHAUST LAMBDA"
"s","°C","V","bar","bar","gear","g","g","g","deg/s","deg/s","deg/s","%","rpm","°C","°C","bar","bar","%","V","lambda"

,"14.2969","12.3360","0.0577","0.3345","0.0000","0.0436","0.0138","-1.0537","-0.2615","0.1375","0.2502","58.6875","169.0000","21.0000","12.4000","3.0960","1.3580","0.0000","10.4000","2.1700"
,"14.2969","12.3360","0.0577","0.3345","0.0000","0.0436","0.0085","-1.0407","-0.2560","0.1538","0.2060","58.6875","169.0000","21.0000","12.4000","3.0960","1.3580","0.0000","10.4000","2.1700"
,"14.2969","12.3360","0.0577","0.3345","0.0000","0.0215","-0.0183","-0.9863","-0.2412","0.1709","0.1786","58.6875","169.0000","21.0000","12.4000","3.0960","1.3580","0.0000","10.4000","2.1700"
,"14.2969","12.3360","0.0577","0.3345","0.0000","0.0089","-0.0070","-0.9952","-0.2208","0.1860","0.1766","58.6875","169.0000","21.0000","12.4000","3.0960","1.3580","0.0000","10.4000","2.1700"
,"14.2969","12.3360","0.0577","0.3345","0.0000","0.0158","0.0013","-1.0329","-0.2050","0.1949","0.1860","58.6875","169.0000","21.0000","12.4000","3.0960","1.3580","0.0000","10.4000","2.1700"
,"14.2969","12.3360","0.0577","0.3345","0.0000","0.0024","-0.0161","-1.0026","-0.2189","0.2014","0.1887","58.6875","169.0000","21.0000","12.4000","3.0960","1.3580","0.0000","10.4000","2.1700"
,"14.2969","12.3360","0.0628","0.3455","0.0000","0.0058","-0.0149","-1.0118","-0.2332","0.2098","0.1884","58.6875","175.1000","21.0000","12.4000","3.0954","1.3579","0.0000","10.4960","2.1610"
,"14.2969","12.3360","0.0492","0.3690","0.0000","0.0145","-0.0116","-1.0196","-0.2172","0.2209","0.1852","58.6875","208.9889","21.0000","12.4000","3.0921","1.3573","0.0000","10.7960","2.1310"
,"14.2969","12.3360","0.0533","0.3922","0.0000","0.0012","-0.0191","-1.0191","-0.1836","0.2311","0.1672","58.6875","229.3667","21.0000","12.4000","3.0917","1.3562","0.0000","10.9840","2.1055"
,"14.2969","12.3360","0.0588","0.3760","0.0000","0.0025","-0.0214","-1.0232","-0.1651","0.2482","0.1345","58.6875","227.7000","21.0000","12.4000","3.0961","1.3539","0.0000","10.9340","2.0905"
,"14.2969","12.3360","0.0285","0.3560","0.0000","0.0088","-0.0224","-1.0352","-0.1725","0.2615","0.1131","58.6875","237.9556","21.0000","12.4000","3.0980","1.3530","0.0000","10.9160","2.0770"
,"14.2969","12.3360","0.0273","0.3802","0.0000","0.0193","-0.0183","-1.0237","-0.1968","0.2546","0.1308","58.6875","256.8445","21.0000","12.4000","3.0980","1.3530","0.0000","10.9660","2.0670"
,"14.2969","12.3360","0.0534","0.3719","0.0000","0.0114","-0.0018","-1.0138","-0.2079","0.2306","0.1669","58.6875","260.5667","21.0000","12.4000","3.0971","1.3547","0.0000","10.9200","2.0585"
,"14.2969","12.3360","0.0604","0.3466","0.0000","0.0033","0.0029","-1.0127","-0.1857","0.2048","0.2052","58.6875","260.0111","21.0000","12.4000","3.0960","1.3570","0.0000","10.6700","2.0535"
,"14.2969","12.3360","0.0550","0.3547","0.0000","-0.0020","-0.0120","-1.0185","-0.1469","0.1892","0.2520","58.6875","709.1667","20.8400","12.4000","3.0922","1.3668","0.0000","10.6760","2.0920"
,"14.2969","12.3360","0.0318","0.3540","0.0000","-0.1308","0.0157","-1.0488","-0.1046","0.2053","0.3315","58.6875","1205.0000","20.3400","12.3900","3.0902","1.3724","0.0000","11.2260","2.2320"
