"Format","AiM CSV File"
"Session","45.392°N, 75.696°W"
"Vehicle","GG25"
"Racer","Ben"
"Championship","P7"
"Comment","6 cones 30ft per
90 degree arb
(low fuel runs) {
6.90
6.38
6.98
}
6.78
6.38
6.86"
"Date","Saturday, August 16, 2025"
"Time","2:27 PM"
"Sample Rate","20"
"Duration","132"
"Segment","Session"
"Beacon Markers","132"
"Segment Times","2:12.000"

"Time","GPS Speed","GPS Nsat","GPS LatAcc","GPS LonAcc","GPS Slope","GPS Heading","GPS Gyro","GPS Altitude","GPS PosAccuracy","GPS SpdAccuracy","GPS Radius","GPS Latitude","GPS Longitude"
"s","km/h"," ","g","g","deg","deg","deg/s","m","mm","km/h","m","deg","deg"

"0.000","0.2305","15","0.0000","0.0000","2.6644","119.5006","0.0000","29.7976","29.3000","0.2500","10000.0000","45.39173268","-75.69676035"
"0.050","0.2305","15","0.0000","0.0000","2.6644","119.5006","0.0000","29.7976","29.3000","0.2500","10000.0000","45.39173268","-75.69676035"
"0.100","0.2305","15","0.0000","0.0000","2.6644","119.5006","0.0000","29.7976","29.3000","0.2500","10000.0000","45.39173268","-75.69676035"
"0.150","0.2305","15","0.0000","0.0000","2.6644","119.5006","0.0000","29.7976","29.3000","0.2500","10000.0000","45.39173268","-75.69676035"
"0.200","0.2305","15","0.0000","0.0000","2.6644","119.5006","0.0000","29.7976","29.3000","0.2500","10000.0000","45.39173268","-75.69676035"
"0.250","0.2305","15","0.0000","0.0000","2.6644","119.5006","0.0000","29.7976","29.3000","0.2500","10000.0000","45.39173268","-75.69676035"
"0.300","0.2305","15","0.0000","0.0000","2.6644","119.5006","0.0000","29.7976","29.3000","0.2500","10000.0000","45.39173268","-75.69676035"
"0.350","0.2305","15","0.0000","0.0000","2.6644","119.5006","0.0000","29.7976","29.3000","0.2500","10000.0000","45.39173268","-75.69676035"
"0.400","0.2305","15","0.0000","0.0000","2.6644","119.5006","0.0000","29.7976","29.3000","0.2500","10000.0000","45.39173268","-75.69676035"
"0.450","0.2305","15","0.0000","0.0000","2.6644","119.5006","0.0000","29.7976","29.3000","0.2500","10000.0000","45.39173268","-75.69676035"
"0.500","0.2191","15","0.0000","0.0000","3.3468","98.5414","0.0000","29.7993","29.2920","0.2492","10000.0000","45.39173269","-75.69676036"
"0.550","0.1480","15","0.0000","0.0000","7.6120","-32.4538","0.0000","29.8098","29.2420","0.2442","10000.0000","45.39173272","-75.69676037"
"0.600","0.0902","15","0.0000","0.0000","10.0215","-122.0560","0.0000","29.8176","29.2000","0.2400","10000.0000","45.39173275","-75.69676038"
"0.650","0.1031","15","0.0000","0.0000","2.6890","5.6553","0.0000","29.8106","29.2000","0.2400","10000.0000","45.39173275","-75.69676037"
"0.700","0.1188","15","0.0000","0.0000","-2.6006","114.7688","0.0000","29.8073","29.1920","0.2416","10000.0000","45.39173275","-75.69676034"
"0.750","0.1501","15","0.0000","0.0000","2.8356","126.2440","0.0000","29.8231","29.1420","0.2516","10000.0000","45.39173280","-75.69676023"
"0.800","0.1672","15","0.0000","0.0000","7.1862","137.4347","0.0000","29.8371","29.1000","0.2600","10000.0000","45.39173284","-75.69676013"
"0.850","0.1102","15","0.0000","0.0000","5.8376","147.1320","0.0000","29.8415","29.1000","0.2600","10000.0000","45.39173287","-75.69676007"
"0.900","0.0760","15","0.0000","0.0000","3.8123","143.0451","0.0000","29.8429","29.1000","0.2608","10000.0000","45.39173291","-75.69676001"
"0.950","0.1615","15","0.0000","0.0000","-1.7662","66.5913","0.0000","29.8284","29.1000","0.2658","10000.0000","45.39173304","-75.69676001"
"1.000","0.2272","15","0.0000","0.0000","-7.9451","-0.4820","0.0000","29.8131","29.0920","0.2700","10000.0000","45.39173317","-75.69675999"
"1.050","0.1890","15","0.0000","0.0000","-17.2763","-18.3077","0.0000","29.7934","29.0420","0.2700","10000.0000","45.39173329","-75.69675985"
"1.100","0.1645","15","0.0000","0.0000","-25.2666","-31.6753","0.0000","29.7730","29.0000","0.2700","10000.0000","45.39173340","-75.69675972"
"1.150","0.2121","15","0.0000","0.0000","-26.2169","-21.6374","0.0000","29.7489","29.0000","0.2700","10000.0000","45.39173349","-75.69675964"
"1.200","0.2465","15","0.0000","0.0000","-27.2343","-14.2040","0.0000","29.7310","29.0000","0.2700","10000.0000","45.39173358","-75.69675956"
"1.250","0.2123","15","0.0000","0.0000","-28.6038","-20.4443","0.0000","29.7459","29.0000","0.2700","10000.0000","45.39173363","-75.69675952"
"1.300","0.1844","15","0.0000","0.0000","-28.2006","-11.3988","0.0000","29.7617","29.0000","0.2708","10000.0000","45.39173368","-75.69675945"
"1.350","0.1895","15","0.0000","0.0000","-18.4916","77.8973","0.0000","29.7818","29.0000","0.2758","10000.0000","45.39173369","-75.69675930"
"1.400","0.2033","15","0.0000","0.0000","-10.3957","151.0521","0.0000","29.7979","28.9920","0.2800","10000.0000","45.39173370","-75.69675915"
"1.450","0.2622","15","0.0000","0.0000","-10.7687","139.4650","0.0000","29.7928","28.9420","0.2800","10000.0000","45.39173375","-75.69675899"
