"Format","AiM CSV File"
"Session","45.392°N, 75.696°W"
"Vehicle","GG25"
"Racer","Ben"
"Championship","P7"
"Comment","6 cones 30 ft per
45 degrees arb
times:
7.26
7.05 (1 cone)
6.15
6.28 (1 cone)"
"Date","Saturday, August 16, 2025"
"Time","3:25 PM"
"Sample Rate","20"
"Duration","200"
"Segment","Session"
"Beacon Markers","200"
"Segment Times","3:20.000"

"Time","GPS Speed","GPS Nsat","GPS LatAcc","GPS LonAcc","GPS Slope","GPS Heading","GPS Gyro","GPS Altitude","GPS PosAccuracy","GPS SpdAccuracy","GPS Radius","GPS Latitude","GPS Longitude"
"s","km/h"," ","g","g","deg","deg","deg/s","m","mm","km/h","m","deg","deg"

"0.000","0.3827","13","0.0000","0.0000","46.4796","-132.7230","0.0000","27.5357","31.4000","0.1700","10000.0000","45.39184403","-75.69688214"
"0.050","0.3827","13","0.0000","0.0000","46.4796","-132.7230","0.0000","27.5357","31.4000","0.1700","10000.0000","45.39184403","-75.69688214"
"0.100","0.3827","13","0.0000","0.0000","46.4796","-132.7230","0.0000","27.5357","31.4000","0.1700","10000.0000","45.39184403","-75.69688214"
"0.150","0.3827","13","0.0000","0.0000","46.4796","-132.7230","0.0000","27.5357","31.4000","0.1700","10000.0000","45.39184403","-75.69688214"
"0.200","0.3827","13","0.0000","0.0000","46.4796","-132.7230","0.0000","27.5357","31.4000","0.1700","10000.0000","45.39184403","-75.69688214"
"0.250","0.3827","13","0.0000","0.0000","46.4796","-132.7230","0.0000","27.5357","31.4000","0.1700","10000.0000","45.39184403","-75.69688214"
"0.300","0.3827","13","0.0000","0.0000","46.4796","-132.7230","0.0000","27.5357","31.4000","0.1700","10000.0000","45.39184403","-75.69688214"
"0.350","0.3827","13","0.0000","0.0000","46.4796","-132.7230","0.0000","27.5357","31.4000","0.1700","10000.0000","45.39184403","-75.69688214"
"0.400","0.3827","13","0.0000","0.0000","46.4796","-132.7230","0.0000","27.5357","31.4000","0.1700","10000.0000","45.39184403","-75.69688214"
"0.450","0.3827","13","0.0000","0.0000","46.4796","-132.7230","0.0000","27.5357","31.4000","0.1700","10000.0000","45.39184403","-75.69688214"
"0.500","0.3820","13","0.0000","0.0000","46.6090","-132.7727","0.0000","27.5357","31.3990","0.1699","10000.0000","45.39184403","-75.69688214"
"0.550","0.3455","13","0.0000","0.0000","53.0809","-135.2571","0.0000","27.5315","31.3490","0.1649","10000.0000","45.39184413","-75.69688217"
"0.600","0.3113","13","0.0000","0.0000","59.1288","-137.1928","0.0000","27.5273","31.2990","0.1604","10000.0000","45.39184423","-75.69688220"
"0.650","0.3939","13","0.0000","0.0000","44.3984","-112.2405","0.0000","27.5179","31.2490","0.1804","10000.0000","45.39184432","-75.69688235"
"0.700","0.4734","13","0.0000","0.0000","30.0739","-88.4305","0.0000","27.5085","31.1990","0.2000","10000.0000","45.39184440","-75.69688251"
"0.750","0.3989","13","0.0000","0.0000","35.6346","-120.5929","0.0000","27.4980","31.1490","0.2000","10000.0000","45.39184437","-75.69688249"
"0.800","0.3247","13","0.0000","0.0000","41.3100","-152.0795","0.0000","27.4874","31.0980","0.1996","10000.0000","45.39184434","-75.69688247"
"0.850","0.2586","13","0.0000","0.0000","52.6006","-150.4545","0.0000","27.4764","30.9980","0.1796","10000.0000","45.39184444","-75.69688249"
"0.900","0.1953","13","0.0000","0.0000","63.3676","-148.5733","0.0000","27.4657","30.8990","0.1602","10000.0000","45.39184454","-75.69688250"
"0.950","0.2692","13","0.0000","0.0000","48.4743","-134.1382","0.0000","27.4762","30.8490","0.1702","10000.0000","45.39184457","-75.69688252"
"1.000","0.3412","13","0.0000","0.0000","33.9115","-117.3902","0.0000","27.4865","30.7990","0.1806","10000.0000","45.39184460","-75.69688253"
"1.050","0.3231","13","0.0000","0.0000","35.5456","12.6935","0.0000","27.4840","30.7490","0.2106","10000.0000","45.39184463","-75.69688246"
"1.100","0.3050","13","0.0000","0.0000","37.0902","140.0569","0.0000","27.4814","30.6990","0.2400","10000.0000","45.39184465","-75.69688238"
"1.150","0.2821","13","0.0000","0.0000","34.2442","134.1324","0.0000","27.4782","30.6490","0.2400","10000.0000","45.39184474","-75.69688235"
"1.200","0.2611","13","0.0000","0.0000","31.3432","128.1629","0.0000","27.4753","30.5990","0.2400","10000.0000","45.39184484","-75.69688231"
"1.250","0.3365","13","0.0000","0.0000","25.7505","119.9930","0.0000","27.4911","30.5490","0.2400","10000.0000","45.39184489","-75.69688221"
"1.300","0.4136","13","0.0000","0.0000","20.2472","111.8714","0.0000","27.5072","30.5000","0.2400","10000.0000","45.39184493","-75.69688210"
"1.350","0.5720","13","0.0000","0.0000","19.1319","106.1174","0.0000","27.5360","30.5000","0.2400","10000.0000","45.39184493","-75.69688183"
"1.400","0.7269","13","0.0000","0.0000","18.0390","100.5667","0.0000","27.5641","30.4990","0.2401","10000.0000","45.39184492","-75.69688157"
"1.450","0.7128","13","0.0000","0.0000","18.0483","104.9774","0.0000","27.5625","30.4490","0.2451","10000.0000","45.39184494","-75.69688143"
"1.500","0.6965","13","0.0000","0.0000","18.1411","109.1777","0.0000","27.5607","30.3990","0.2498","10000.0000","45.39184495","-75.69688130"
"1.550","0.5726","13","0.0000","0.0000","22.3316","103.0696","0.0000","27.5530","30.3490","0.2398","10000.0000","45.39184502","-75.69688133"
"1.600","0.4510","13","0.0000","0.0000","26.4559","97.4378","0.0000","27.5456","30.2990","0.2302","10000.0000","45.39184509","-75.69688136"
"1.650","0.4459","13","0.0000","0.0000","27.3340","115.1373","0.0000","27.5500","30.2490","0.2402","10000.0000","45.39184511","-75.69688130"
"1.700","0.4444","13","0.0000","0.0000","28.0489","132.4617","0.0000","27.5542","30.1990","0.2502","10000.0000","45.39184514","-75.69688123"
"1.750","0.6175","13","0.0000","0.0000","20.7630","131.4075","0.0000","27.5463","30.1490","0.2602","10000.0000","45.39184508","-75.69688103"
"1.800","0.7856","13","0.0000","0.0000","13.6719","130.2218","0.0000","27.5387","30.0990","0.2699","10000.0000","45.39184503","-75.69688083"
"1.850","0.7115","13","0.0000","0.0000","16.1249","122.5904","0.0000","27.5476","30.0490","0.2649","10000.0000","45.39184507","-75.69688071"
"1.900","0.6355","13","0.0000","0.0000","18.8376","115.5209","0.0000","27.5563","29.9990","0.2594","10000.0000","45.39184512","-75.69688059"
"1.950","0.4622","13","0.0000","0.0000","34.2787","135.9850","0.0000","27.5591","29.9490","0.2294","10000.0000","45.39184522","-75.69688063"
"2.000","0.2930","13","0.0000","0.0000","49.2785","156.0593","0.0000","27.5619","29.8990","0.2003","10000.0000","45.39184533","-75.69688067"
"2.050","0.3175","13","0.0000","0.0000","42.6601","157.0405","0.0000","27.5630","29.8490","0.2153","10000.0000","45.39184538","-75.69688060"
"2.100","0.3405","13","0.0000","0.0000","36.4557","156.7239","0.0000","27.5641","29.7990","0.2292","10000.0000","45.39184544","-75.69688052"
"2.150","0.2891","13","0.0000","0.0000","50.5431","92.8166","0.0000","27.5714","29.7490","0.1892","10000.0000","45.39184556","-75.69688050"
"2.200","0.2388","13","0.0000","0.0000","64.2334","29.5119","0.0000","27.5784","29.7000","0.1503","10000.0000","45.39184569","-75.69688049"
"2.250","0.2388","13","0.0000","0.0000","58.4728","-4.2620","0.0000","27.5707","29.7000","0.1653","10000.0000","45.39184576","-75.69688052"
"2.300","0.2380","13","0.0000","0.0000","53.0015","-37.1776","0.0000","27.5633","29.6990","0.1796","10000.0000","45.39184583","-75.69688055"
"2.350","0.1991","13","0.0000","0.0000","61.7051","-28.0326","0.0000","27.5668","29.6490","0.1596","10000.0000","45.39184586","-75.69688055"
"2.400","0.1614","13","0.0000","0.0000","70.1011","-18.5357","0.0000","27.5704","29.5990","0.1401","10000.0000","45.39184589","-75.69688055"
"2.450","0.1795","13","0.0000","0.0000","63.4215","8.1988","0.0000","27.5776","29.5490","0.1451","10000.0000","45.39184595","-75.69688055"
"2.500","0.1974","13","0.0000","0.0000","56.8150","33.8728","0.0000","27.5848","29.5000","0.1504","10000.0000","45.39184602","-75.69688055"
"2.550","0.2098","13","0.0000","0.0000","53.7878","7.5755","0.0000","27.5954","29.5000","0.1704","10000.0000","45.39184611","-75.69688055"
"2.600","0.2223","13","0.0000","0.0000","50.8022","-16.5141","0.0000","27.6060","29.4990","0.1903","10000.0000","45.39184620","-75.69688055"
"2.650","0.2424","13","0.0000","0.0000","49.8587","67.5674","0.0000","27.6103","29.4490","0.2053","10000.0000","45.39184617","-75.69688050"
