"Format","AiM CSV File"
"Session","45.392°N, 75.696°W"
"Vehicle","GG25"
"Racer","Ben"
"Championship","P7"
"Comment","6 cones 30ft per
90 degree arb
(low fuel runs) {
6.90
6.38
6.98
}
6.78
6.38
6.86"
"Date","Saturday, August 16, 2025"
"Time","2:23 PM"
"Sample Rate","20"
"Duration","26"
"Segment","Session"
"Beacon Markers","26"
"Segment Times","0:26.000"

"Time","GPS Speed","GPS Nsat","GPS LatAcc","GPS LonAcc","GPS Slope","GPS Heading","GPS Gyro","GPS Altitude","GPS PosAccuracy","GPS SpdAccuracy","GPS Radius","GPS Latitude","GPS Longitude"
"s","km/h"," ","g","g","deg","deg","deg/s","m","mm","km/h","m","deg","deg"

"0.000","0.1484","13","0.0000","0.0000","-56.3912","25.6587","0.0000","33.1542","33.4000","0.2100","10000.0000","45.39173602","-75.69674028"
"0.050","0.1484","13","0.0000","0.0000","-56.3912","25.6587","0.0000","33.1542","33.4000","0.2100","10000.0000","45.39173602","-75.69674028"
"0.100","0.1484","13","0.0000","0.0000","-56.3912","25.6587","0.0000","33.1542","33.4000","0.2100","10000.0000","45.39173602","-75.69674028"
"0.150","0.1484","13","0.0000","0.0000","-56.3912","25.6587","0.0000","33.1542","33.4000","0.2100","10000.0000","45.39173602","-75.69674028"
"0.200","0.1484","13","0.0000","0.0000","-56.3912","25.6587","0.0000","33.1542","33.4000","0.2100","10000.0000","45.39173602","-75.69674028"
"0.250","0.1549","13","0.0000","0.0000","-56.0802","7.2598","0.0000","33.1516","33.4000","0.2178","10000.0000","45.39173609","-75.69674026"
"0.300","0.1632","13","0.0000","0.0000","-55.6815","-16.3285","0.0000","33.1484","33.4000","0.2278","10000.0000","45.39173618","-75.69674023"
"0.350","0.1959","13","0.0000","0.0000","-42.0071","-77.2250","0.0000","33.1538","33.3610","0.2456","10000.0000","45.39173620","-75.69674018"
"0.400","0.2355","13","0.0000","0.0000","-24.5882","-148.6442","0.0000","33.1616","33.3110","0.2656","10000.0000","45.39173619","-75.69674014"
"0.450","0.2068","13","0.0000","0.0000","-31.8255","-67.7586","0.0000","33.1642","33.2610","0.2388","10000.0000","45.39173628","-75.69674006"
"0.500","0.1590","13","0.0000","0.0000","-46.0172","56.0849","0.0000","33.1654","33.2110","0.1988","10000.0000","45.39173640","-75.69673996"
"0.550","0.1607","13","0.0000","0.0000","-46.4909","0.8631","0.0000","33.1630","33.1610","0.1939","10000.0000","45.39173645","-75.69673993"
"0.600","0.1765","13","0.0000","0.0000","-43.0954","-104.8642","0.0000","33.1596","33.1110","0.1989","10000.0000","45.39173648","-75.69673991"
"0.650","0.2040","13","0.0000","0.0000","-33.4052","-145.7320","0.0000","33.1650","33.1000","0.2312","10000.0000","45.39173648","-75.69673987"
"0.700","0.2347","13","0.0000","0.0000","-21.9395","-168.3061","0.0000","33.1728","33.1000","0.2712","10000.0000","45.39173647","-75.69673983"
"0.750","0.1939","13","0.0000","0.0000","-36.0025","-108.9715","0.0000","33.1748","33.0610","0.2488","10000.0000","45.39173657","-75.69673979"
"0.800","0.1328","13","0.0000","0.0000","-57.2660","-26.5345","0.0000","33.1751","33.0110","0.2088","10000.0000","45.39173670","-75.69673976"
"0.850","0.1444","13","0.0000","0.0000","-53.1090","8.1199","0.0000","33.1753","32.9610","0.2117","10000.0000","45.39173677","-75.69673974"
"0.900","0.1765","13","0.0000","0.0000","-41.7820","29.2971","0.0000","33.1754","32.9110","0.2267","10000.0000","45.39173683","-75.69673973"
"0.950","0.2040","13","0.0000","0.0000","-35.7893","59.4474","0.0000","33.1707","32.9000","0.2222","10000.0000","45.39173684","-75.69673966"
"1.000","0.2303","13","0.0000","0.0000","-31.3010","92.1287","0.0000","33.1646","32.9000","0.2122","10000.0000","45.39173683","-75.69673958"
"1.050","0.3083","13","0.0000","0.0000","-24.6987","-4.7100","0.0000","33.1632","32.8610","0.2451","10000.0000","45.39173678","-75.69673958"
"1.100","0.4010","13","0.0000","0.0000","-17.5000","-138.0799","0.0000","33.1630","32.8110","0.2901","10000.0000","45.39173672","-75.69673960"
"1.150","0.3149","13","0.0000","0.0000","-30.4915","-132.6358","0.0000","33.1591","32.8000","0.2727","10000.0000","45.39173679","-75.69673967"
"1.200","0.1785","13","0.0000","0.0000","-49.1776","-88.0391","0.0000","33.1541","32.8000","0.2377","10000.0000","45.39173690","-75.69673976"
"1.250","0.2866","13","0.0000","0.0000","-37.9514","-51.2414","0.0000","33.1520","32.7610","0.2807","10000.0000","45.39173708","-75.69673984"
"1.300","0.4637","13","0.0000","0.0000","-18.2883","-16.6434","0.0000","33.1508","32.7110","0.3457","10000.0000","45.39173729","-75.69673992"
"1.350","0.5449","13","0.0000","0.0000","-12.0210","-28.9072","0.0000","33.1572","32.7000","0.3444","10000.0000","45.39173732","-75.69674006"
"1.400","0.5990","13","0.0000","0.0000","-9.5319","-54.3885","0.0000","33.1659","32.7000","0.3244","10000.0000","45.39173731","-75.69674021"
"1.450","0.5978","13","0.0000","0.0000","-8.9465","-59.5255","0.0000","33.1692","32.6610","0.3200","10000.0000","45.39173734","-75.69674034"
"1.500","0.5808","13","0.0000","0.0000","-8.8980","-58.9245","0.0000","33.1710","32.6110","0.3200","10000.0000","45.39173739","-75.69674047"
"1.550","0.5329","13","0.0000","0.0000","-9.2237","-42.2691","0.0000","33.1770","32.6000","0.3395","10000.0000","45.39173745","-75.69674049"
"1.600","0.4763","13","0.0000","0.0000","-9.6550","-21.0855","0.0000","33.1841","32.6000","0.3645","10000.0000","45.39173751","-75.69674049"
"1.650","0.3251","13","0.0000","0.0000","-19.6445","22.1061","0.0000","33.1894","32.5610","0.3115","10000.0000","45.39173739","-75.69674044"
"1.700","0.1471","13","0.0000","0.0000","-32.3300","71.5051","0.0000","33.1942","32.5110","0.2365","10000.0000","45.39173722","-75.69674036"
"1.750","0.2927","13","0.0000","0.0000","-23.3316","115.4208","0.0000","33.1989","32.5000","0.2824","10000.0000","45.39173700","-75.69674029"
"1.800","0.5295","13","0.0000","0.0000","-8.2172","157.7900","0.0000","33.2036","32.5000","0.3624","10000.0000","45.39173676","-75.69674023"
"1.850","0.4680","13","0.0000","0.0000","-7.5424","149.0419","0.0000","33.2049","32.5000","0.3566","10000.0000","45.39173681","-75.69674020"
"1.900","0.3223","13","0.0000","0.0000","-10.9401","125.8761","0.0000","33.2052","32.5000","0.3266","10000.0000","45.39173693","-75.69674016"
"1.950","0.2636","13","0.0000","0.0000","-13.2904","134.5144","0.0000","33.2018","32.4610","0.3395","10000.0000","45.39173694","-75.69674021"
"2.000","0.2294","13","0.0000","0.0000","-15.3452","152.1230","0.0000","33.1974","32.4110","0.3645","10000.0000","45.39173692","-75.69674027"
"2.050","0.1879","13","0.0000","0.0000","-19.1963","129.2745","0.0000","33.2013","32.4000","0.3193","10000.0000","45.39173697","-75.69674033"
"2.100","0.1443","13","0.0000","0.0000","-23.5542","95.0151","0.0000","33.2075","32.4000","0.2543","10000.0000","45.39173704","-75.69674039"
"2.150","0.1328","12","0.0000","0.0000","-26.5529","108.6450","0.0000","33.2062","32.4000","0.2712","10000.0000","45.39173708","-75.69674039"
"2.200","0.1303","12","0.0000","0.0000","-29.1682","135.7820","0.0000","33.2028","32.4000","0.3112","10000.0000","45.39173711","-75.69674038"
"2.250","0.1691","12","0.0000","0.0000","-24.7093","114.6020","0.0000","33.2022","32.3610","0.2732","10000.0000","45.39173717","-75.69674036"
"2.300","0.2194","12","0.0000","0.0000","-18.2551","79.7941","0.0000","33.2024","32.3110","0.2132","10000.0000","45.39173723","-75.69674035"
"2.350","0.2899","12","0.0000","0.0000","-13.9900","84.4530","0.0000","33.2031","32.3000","0.2273","10000.0000","45.39173724","-75.69674029"
"2.400","0.3659","12","0.0000","0.0000","-10.3424","100.2435","0.0000","33.2039","32.3000","0.2623","10000.0000","45.39173723","-75.69674023"
"2.450","0.3724","12","0.0000","0.0000","-12.2587","3.1594","0.0000","33.1945","32.3000","0.2895","10000.0000","45.39173717","-75.69674031"
"2.500","0.3593","12","0.0000","0.0000","-15.7443","-125.7611","0.0000","33.1820","32.3000","0.3145","10000.0000","45.39173709","-75.69674044"
"2.550","0.4875","12","0.0000","0.0000","-13.7671","-30.4225","0.0000","33.1734","32.3000","0.3512","10000.0000","45.39173687","-75.69674030"
"2.600","0.6555","12","0.0000","0.0000","-10.2491","128.1688","0.0000","33.1659","32.3000","0.3912","10000.0000","45.39173662","-75.69674008"
"2.650","0.6786","12","0.0000","0.0000","-8.3276","159.8457","0.0000","33.1764","32.2610","0.4000","10000.0000","45.39173651","-75.69673997"
"2.700","0.6608","12","0.0000","0.0000","-6.8565","155.7263","0.0000","33.1919","32.2110","0.4000","10000.0000","45.39173643","-75.69673990"
"2.750","0.6331","12","0.0000","0.0000","-5.6121","158.3875","0.0000","33.2040","32.2000","0.4039","10000.0000","45.39173638","-75.69673986"
