"Format","AiM CSV File"
"Session","45.392°N, 75.696°W"
"Vehicle","GG25"
"Racer","Ben"
"Championship","P7"
"Comment","6 cones 30 ft per
45 degrees arb
times:
7.26
7.05 (1 cone)
6.15
6.28 (1 cone)"
"Date","Saturday, August 16, 2025"
"Time","3:29 PM"
"Sample Rate","20"
"Duration","57"
"Segment","Session"
"Beacon Markers","57"
"Segment Times","0:57.000"

"Time","GPS Speed","GPS Nsat","GPS LatAcc","GPS LonAcc","GPS Slope","GPS Heading","GPS Gyro","GPS Altitude","GPS PosAccuracy","GPS SpdAccuracy","GPS Radius","GPS Latitude","GPS Longitude"
"s","km/h"," ","g","g","deg","deg","deg/s","m","mm","km/h","m","deg","deg"

"0.000","0.1347","11","0.0000","0.0000","40.0259","-110.7586","0.0000","30.1569","22.5000","0.1700","10000.0000","45.39136450","-75.69632189"
"0.050","0.1347","11","0.0000","0.0000","40.0259","-110.7586","0.0000","30.1569","22.5000","0.1700","10000.0000","45.39136450","-75.69632189"
"0.100","0.1347","11","0.0000","0.0000","40.0259","-110.7586","0.0000","30.1569","22.5000","0.1700","10000.0000","45.39136450","-75.69632189"
"0.150","0.1347","11","0.0000","0.0000","40.0259","-110.7586","0.0000","30.1569","22.5000","0.1700","10000.0000","45.39136450","-75.69632189"
"0.200","0.1347","11","0.0000","0.0000","40.0259","-110.7586","0.0000","30.1569","22.5000","0.1700","10000.0000","45.39136450","-75.69632189"
"0.250","0.1347","11","0.0000","0.0000","40.0259","-110.7586","0.0000","30.1569","22.5000","0.1700","10000.0000","45.39136450","-75.69632189"
"0.300","0.1347","11","0.0000","0.0000","48.8712","-26.4831","0.0000","30.1690","22.5000","0.1550","10000.0000","45.39136446","-75.69632180"
"0.350","0.1347","11","0.0000","0.0000","57.7164","57.7924","0.0000","30.1811","22.5000","0.1400","10000.0000","45.39136441","-75.69632171"
"0.400","0.1840","11","0.0000","0.0000","42.8191","60.2851","0.0000","30.1889","22.5000","0.1650","10000.0000","45.39136440","-75.69632166"
"0.450","0.2333","11","0.0000","0.0000","27.9217","62.7779","0.0000","30.1968","22.5000","0.1900","10000.0000","45.39136440","-75.69632162"
"0.500","0.1676","11","0.0000","0.0000","53.9239","-12.1732","0.0000","30.1924","22.4500","0.1600","10000.0000","45.39136437","-75.69632168"
"0.550","0.1018","11","0.0000","0.0000","79.9260","-87.1243","0.0000","30.1879","22.4000","0.1300","10000.0000","45.39136435","-75.69632174"
"0.600","0.1662","11","0.0000","0.0000","52.4747","-102.6841","0.0000","30.1983","22.4000","0.1600","10000.0000","45.39136432","-75.69632177"
"0.650","0.2305","11","0.0000","0.0000","25.0234","-118.2439","0.0000","30.2087","22.4000","0.1900","10000.0000","45.39136429","-75.69632181"
"0.700","0.1977","11","0.0000","0.0000","31.3298","-14.2097","0.0000","30.2095","22.4000","0.1750","10000.0000","45.39136428","-75.69632174"
"0.750","0.1650","11","0.0000","0.0000","37.6363","89.8245","0.0000","30.2104","22.4000","0.1600","10000.0000","45.39136427","-75.69632168"
"0.800","0.1609","11","0.0000","0.0000","43.7941","80.6693","0.0000","30.2191","22.3500","0.1550","10000.0000","45.39136426","-75.69632157"
"0.850","0.1569","11","0.0000","0.0000","49.9519","71.5142","0.0000","30.2278","22.3000","0.1500","10000.0000","45.39136424","-75.69632147"
"0.900","0.1754","11","0.0000","0.0000","43.2880","22.4363","0.0000","30.2200","22.3000","0.1500","10000.0000","45.39136425","-75.69632151"
"0.950","0.1939","11","0.0000","0.0000","36.6242","-26.6416","0.0000","30.2121","22.3000","0.1500","10000.0000","45.39136426","-75.69632156"
"1.000","0.2049","11","0.0000","0.0000","28.9683","12.3929","0.0000","30.2060","22.3000","0.1750","10000.0000","45.39136425","-75.69632148"
"1.050","0.2160","11","0.0000","0.0000","21.3123","51.4275","0.0000","30.1999","22.3000","0.2000","10000.0000","45.39136424","-75.69632140"
"1.100","0.1704","11","0.0000","0.0000","43.0060","77.0933","0.0000","30.2147","22.2500","0.1700","10000.0000","45.39136423","-75.69632137"
"1.150","0.1247","11","0.0000","0.0000","64.6996","102.7590","0.0000","30.2295","22.2000","0.1400","10000.0000","45.39136423","-75.69632134"
"1.200","0.1193","11","0.0000","0.0000","63.8227","46.4341","0.0000","30.2260","22.2000","0.1300","10000.0000","45.39136420","-75.69632134"
"1.250","0.1138","11","0.0000","0.0000","62.9458","-9.8909","0.0000","30.2224","22.2000","0.1200","10000.0000","45.39136416","-75.69632134"
"1.300","0.1010","11","0.0000","0.0000","64.7250","70.5066","0.0000","30.2224","22.2000","0.1250","10000.0000","45.39136416","-75.69632134"
"1.350","0.0882","11","0.0000","0.0000","66.5043","150.9041","0.0000","30.2224","22.2000","0.1300","10000.0000","45.39136416","-75.69632134"
"1.400","0.1090","11","0.0000","0.0000","55.0116","99.3704","0.0000","30.2234","22.2000","0.1450","10000.0000","45.39136422","-75.69632126"
"1.450","0.1298","11","0.0000","0.0000","43.5190","47.8368","0.0000","30.2244","22.2000","0.1600","10000.0000","45.39136427","-75.69632119"
"1.500","0.1618","11","0.0000","0.0000","32.7015","45.3643","0.0000","30.2114","22.1500","0.1750","10000.0000","45.39136426","-75.69632109"
"1.550","0.1939","11","0.0000","0.0000","21.8840","42.8919","0.0000","30.1983","22.1000","0.1900","10000.0000","45.39136426","-75.69632100"
"1.600","0.1733","11","0.0000","0.0000","27.6841","31.4961","0.0000","30.1992","22.1000","0.1850","10000.0000","45.39136425","-75.69632094"
"1.650","0.1527","11","0.0000","0.0000","33.4841","20.1002","0.0000","30.2001","22.1000","0.1800","10000.0000","45.39136424","-75.69632088"
"1.700","0.1844","11","0.0000","0.0000","26.4378","84.7103","0.0000","30.1974","22.1000","0.1800","10000.0000","45.39136420","-75.69632081"
"1.750","0.2160","11","0.0000","0.0000","19.3915","149.3204","0.0000","30.1947","22.1000","0.1800","10000.0000","45.39136416","-75.69632075"
"1.800","0.1649","11","0.0000","0.0000","33.1495","87.9849","0.0000","30.1913","22.1000","0.1650","10000.0000","45.39136419","-75.69632074"
"1.850","0.1138","11","0.0000","0.0000","46.9076","26.6493","0.0000","30.1879","22.1000","0.1500","10000.0000","45.39136422","-75.69632072"
"1.900","0.1354","11","0.0000","0.0000","39.3445","-15.8476","0.0000","30.1809","22.1000","0.1600","10000.0000","45.39136422","-75.69632070"
"1.950","0.1569","11","0.0000","0.0000","31.7814","-58.3446","0.0000","30.1740","22.1000","0.1700","10000.0000","45.39136422","-75.69632069"
"2.000","0.1685","11","0.0000","0.0000","24.2703","-56.2001","0.0000","30.1818","22.0500","0.1700","10000.0000","45.39136421","-75.69632064"
"2.050","0.1800","11","0.0000","0.0000","16.7592","-54.0556","0.0000","30.1896","22.0000","0.1700","10000.0000","45.39136421","-75.69632060"
"2.100","0.1818","11","0.0000","0.0000","20.0704","41.9468","0.0000","30.1912","22.0000","0.1700","10000.0000","45.39136413","-75.69632049"
"2.150","0.1836","11","0.0000","0.0000","23.3816","137.9492","0.0000","30.1928","22.0000","0.1700","10000.0000","45.39136405","-75.69632038"
"2.200","0.1702","11","0.0000","0.0000","25.1677","96.1094","0.0000","30.1868","22.0000","0.1850","10000.0000","45.39136410","-75.69632029"
"2.250","0.1569","11","0.0000","0.0000","26.9539","54.2695","0.0000","30.1809","22.0000","0.2000","10000.0000","45.39136416","-75.69632019"
