"Format","AiM CSV File"
"Session","45.392°N, 75.696°W"
"Vehicle","GG25"
"Racer","Ben"
"Championship","P7"
"Comment","6 cones 30ft per
90 degree arb
(low fuel runs) {
6.90
6.38
6.98
}
6.78
6.38
6.86"
"Date","Saturday, August 16, 2025"
"Time","2:34 PM"
"Sample Rate","20"
"Duration","214"
"Segment","Session"
"Beacon Markers","214"
"Segment Times","3:34.000"

"Time","GPS Speed","GPS Nsat","GPS LatAcc","GPS LonAcc","GPS Slope","GPS Heading","GPS Gyro","GPS Altitude","GPS PosAccuracy","GPS SpdAccuracy","GPS Radius","GPS Latitude","GPS Longitude"
"s","km/h"," ","g","g","deg","deg","deg/s","m","mm","km/h","m","deg","deg"

"0.000","0.0805","13","0.0000","0.0000","-8.5771","81.2048","0.0000","30.5888","32.6000","0.1900","10000.0000","45.39112072","-75.69618880"
"0.050","0.0805","13","0.0000","0.0000","-8.5771","81.2048","0.0000","30.5888","32.6000","0.1900","10000.0000","45.39112072","-75.69618880"
"0.100","0.0805","13","0.0000","0.0000","-8.5771","81.2048","0.0000","30.5888","32.6000","0.1900","10000.0000","45.39112072","-75.69618880"
"0.150","0.0805","13","0.0000","0.0000","-8.5771","81.2048","0.0000","30.5888","32.6000","0.1900","10000.0000","45.39112072","-75.69618880"
"0.200","0.0805","13","0.0000","0.0000","-8.9527","78.4134","0.0000","30.5879","32.6000","0.1898","10000.0000","45.39112072","-75.69618880"
"0.250","0.0805","13","0.0000","0.0000","-18.3418","8.6276","0.0000","30.5662","32.6000","0.1848","10000.0000","45.39112072","-75.69618881"
"0.300","0.0826","13","0.0000","0.0000","-27.1617","-58.6225","0.0000","30.5451","32.6000","0.1804","10000.0000","45.39112073","-75.69618883"
"0.350","0.1341","13","0.0000","0.0000","-22.3206","-65.0167","0.0000","30.5416","32.6000","0.1904","10000.0000","45.39112070","-75.69618883"
"0.400","0.1838","13","0.0000","0.0000","-17.6617","-71.8004","0.0000","30.5380","32.5980","0.2000","10000.0000","45.39112067","-75.69618883"
"0.450","0.1906","13","0.0000","0.0000","-17.3770","-87.9326","0.0000","30.5345","32.5480","0.2000","10000.0000","45.39112063","-75.69618883"
"0.500","0.1974","13","0.0000","0.0000","-17.0264","-100.1422","0.0000","30.5315","32.5000","0.2000","10000.0000","45.39112060","-75.69618882"
"0.550","0.2022","13","0.0000","0.0000","-15.0964","-18.2095","0.0000","30.5436","32.5000","0.2000","10000.0000","45.39112056","-75.69618873"
"0.600","0.2068","13","0.0000","0.0000","-13.3088","59.9406","0.0000","30.5554","32.5000","0.2004","10000.0000","45.39112051","-75.69618864"
