"Format","AiM CSV File"
"Session","45.392°N, 75.696°W"
"Vehicle","GG25"
"Racer","Faran"
"Championship","P7"
"Comment","arb 90 degrees 
times:
"
"Date","Saturday, August 16, 2025"
"Time","4:58 PM"
"Sample Rate","20"
"Duration","31"
"Segment","Session"
"Beacon Markers","31"
"Segment Times","0:31.000"

"Time","GPS Speed","GPS Nsat","GPS LatAcc","GPS LonAcc","GPS Slope","GPS Heading","GPS Gyro","GPS Altitude","GPS PosAccuracy","GPS SpdAccuracy","GPS Radius","GPS Latitude","GPS Longitude"
"s","km/h"," ","g","g","deg","deg","deg/s","m","mm","km/h","m","deg","deg"

"0.000","1.8282","5","0.0000","0.0000","-6.5562","-158.1067","0.0000","1633.2472","199.0000","0.2500","10000.0000","45.40265460","-75.69403487"
"0.050","1.8282","5","0.0000","0.0000","-6.5562","-158.1067","0.0000","1633.2472","199.0000","0.2500","10000.0000","45.40265460","-75.69403487"
"0.100","1.8282","5","0.0000","0.0000","-6.5562","-158.1067","0.0000","1633.2472","199.0000","0.2500","10000.0000","45.40265460","-75.69403487"
"0.150","1.8282","5","0.0000","0.0000","-6.5562","-158.1067","0.0000","1633.2472","199.0000","0.2500","10000.0000","45.40265460","-75.69403487"
"0.200","1.9486","5","-0.0271","0.0362","-6.0976","-161.1364","0.0000","1633.3494","196.4100","0.2535","10000.0000","45.40265143","-75.69403334"
"0.250","2.1207","5","-0.0658","0.0879","-5.4425","-165.4645","0.0000","1633.4955","192.7100","0.2585","10000.0000","45.40264689","-75.69403115"
"0.300","2.0644","5","-0.0272","0.0379","-5.5374","-164.5979","0.0000","1633.6185","189.1150","0.2600","10000.0000","45.40264288","-75.69402878"
"0.350","1.9103","5","0.0445","-0.0556","-5.9537","-161.5049","0.0000","1633.7318","185.5650","0.2600","10000.0000","45.40263909","-75.69402632"
"0.400","1.8777","5","0.0353","-0.0504","-5.9144","-161.4061","0.0000","1633.8445","182.1550","0.2600","10000.0000","45.40263536","-75.69402390"
"0.450","1.8974","5","-0.0085","-0.0027","-5.6798","-162.5905","0.0000","1633.9570","178.8050","0.2600","10000.0000","45.40263164","-75.69402149"
"0.500","1.9032","5","-0.0141","0.0075","-5.6094","-162.9458","0.0000","1634.0709","175.5250","0.2600","10000.0000","45.40262804","-75.69401915"
"0.550","1.9032","5","-0.0033","0.0017","-5.6094","-162.9458","0.0000","1634.1855","172.2750","0.2600","10000.0000","45.40262450","-75.69401683"
"0.600","1.8340","5","0.0076","-0.0194","-5.2660","-162.1361","0.0000","1634.2944","169.1650","0.2600","10000.0000","45.40262110","-75.69401456"
"0.650","1.7350","5","0.0184","-0.0472","-4.7754","-160.9793","0.0000","1634.4009","166.1150","0.2600","10000.0000","45.40261776","-75.69401230"
"0.700","1.8663","5","0.0104","0.0095","-4.9026","-161.0750","0.0000","1634.4863","163.2400","0.2600","10000.0000","45.40261434","-75.69401011"
"0.750","2.0961","5","-0.0058","0.1025","-5.2945","-161.7075","0.0000","1634.5629","160.4400","0.2600","10000.0000","45.40261089","-75.69400795"
"0.800","2.0764","5","-0.0090","0.0702","-6.0675","-161.9832","0.0000","1634.6439","157.7450","0.2600","10000.0000","45.40260757","-75.69400581"
"0.850","1.9497","5","-0.0066","-0.0158","-7.0038","-162.1060","0.0000","1634.7271","155.0950","0.2600","10000.0000","45.40260431","-75.69400367"
"0.900","1.9903","5","-0.0025","-0.0280","-6.8272","-162.3954","0.0000","1634.8234","152.5850","0.2600","10000.0000","45.40260098","-75.69400168"
"0.950","2.1025","5","0.0024","-0.0086","-6.1736","-162.7562","0.0000","1634.9252","150.1350","0.2600","10000.0000","45.40259762","-75.69399975"
"1.000","2.0584","5","0.0017","-0.0010","-5.9690","-162.1510","0.0000","1635.0161","147.7200","0.2600","10000.0000","45.40259449","-75.69399787"
"1.050","1.9474","5","-0.0013","0.0015","-5.9569","-161.1319","0.0000","1635.1023","145.3200","0.2600","10000.0000","45.40259146","-75.69399602"
"1.100","1.9272","5","0.0016","0.0007","-5.2789","-161.5429","0.0000","1635.1902","143.0600","0.2635","10000.0000","45.40258837","-75.69399423"
