"Format","AiM CSV File"
"Session","45.392°N, 75.696°W"
"Vehicle","GG25"
"Racer","Faran"
"Championship","P7"
"Comment","arb 90 degrees 
times:
"
"Date","Saturday, August 16, 2025"
"Time","4:59 PM"
"Sample Rate","20"
"Duration","188"
"Segment","Session"
"Beacon Markers","188"
"Segment Times","3:08.000"

"Time","GPS Speed","GPS Nsat","GPS LatAcc","GPS LonAcc","GPS Slope","GPS Heading","GPS Gyro","GPS Altitude","GPS PosAccuracy","GPS SpdAccuracy","GPS Radius","GPS Latitude","GPS Longitude"
"s","km/h"," ","g","g","deg","deg","deg/s","m","mm","km/h","m","deg","deg"

"0.000","0.2718","14","0.0000","0.0000","1.0904","-22.4924","0.0000","31.4700","27.1000","0.1800","10000.0000","45.39192127","-75.69653610"
"0.050","0.2718","14","0.0000","0.0000","1.0904","-22.4924","0.0000","31.4700","27.1000","0.1800","10000.0000","45.39192127","-75.69653610"
"0.100","0.2718","14","0.0000","0.0000","1.0904","-22.4924","0.0000","31.4700","27.1000","0.1800","10000.0000","45.39192127","-75.69653610"
"0.150","0.2718","14","0.0000","0.0000","1.0904","-22.4924","0.0000","31.4700","27.1000","0.1800","10000.0000","45.39192127","-75.69653610"
"0.200","0.2718","14","0.0000","0.0000","1.0904","-22.4924","0.0000","31.4700","27.1000","0.1800","10000.0000","45.39192127","-75.69653610"
"0.250","0.2718","14","0.0000","0.0000","1.0904","-22.4924","0.0000","31.4700","27.1000","0.1800","10000.0000","45.39192127","-75.69653610"
"0.300","0.2718","14","0.0000","0.0000","1.0904","-22.4924","0.0000","31.4700","27.1000","0.1800","10000.0000","45.39192127","-75.69653610"
"0.350","0.2718","14","0.0000","0.0000","1.0904","-22.4924","0.0000","31.4700","27.1000","0.1800","10000.0000","45.39192127","-75.69653610"
"0.400","0.2718","14","0.0000","0.0000","1.0904","-22.4924","0.0000","31.4700","27.1000","0.1800","10000.0000","45.39192127","-75.69653610"
"0.450","0.2321","14","0.0000","0.0000","2.6307","-4.2704","0.0000","31.4715","27.0730","0.1773","10000.0000","45.39192133","-75.69653612"
"0.500","0.1585","14","0.0000","0.0000","5.4832","29.4739","0.0000","31.4744","27.0230","0.1723","10000.0000","45.39192143","-75.69653617"
"0.550","0.0910","14","0.0000","0.0000","4.9606","32.8473","0.0000","31.4712","27.0000","0.1727","10000.0000","45.39192155","-75.69653623"
"0.600","0.0287","14","0.0000","0.0000","1.5629","10.3491","0.0000","31.4628","27.0000","0.1777","10000.0000","45.39192169","-75.69653631"
"0.650","0.0194","14","0.0000","0.0000","-2.6977","-21.5222","0.0000","31.4633","27.0000","0.1773","10000.0000","45.39192182","-75.69653645"
"0.700","0.0554","14","0.0000","0.0000","-7.6934","-61.3781","0.0000","31.4714","27.0000","0.1723","10000.0000","45.39192194","-75.69653663"
"0.750","0.0938","14","0.0000","0.0000","-4.8679","-25.7880","0.0000","31.4786","26.9730","0.1700","10000.0000","45.39192207","-75.69653674"
"0.800","0.1342","14","0.0000","0.0000","4.6201","74.0709","0.0000","31.4850","26.9230","0.1700","10000.0000","45.39192220","-75.69653679"
"0.850","0.1407","14","0.0000","0.0000","8.6086","78.2476","0.0000","31.4909","26.9000","0.1727","10000.0000","45.39192234","-75.69653687"
"0.900","0.1183","14","0.0000","0.0000","7.9124","0.9172","0.0000","31.4964","26.9000","0.1777","10000.0000","45.39192248","-75.69653697"
"0.950","0.1080","14","0.0000","0.0000","7.5921","-34.6547","0.0000","31.5057","26.9000","0.1800","10000.0000","45.39192262","-75.69653709"
"1.000","0.1080","14","0.0000","0.0000","7.5921","-34.6547","0.0000","31.5182","26.9000","0.1800","10000.0000","45.39192277","-75.69653721"
"1.050","0.0886","14","0.0000","0.0000","8.2399","1.7799","0.0000","31.5255","26.8730","0.1773","10000.0000","45.39192289","-75.69653730"
"1.100","0.0526","14","0.0000","0.0000","9.4396","69.2513","0.0000","31.5284","26.8230","0.1723","10000.0000","45.39192299","-75.69653734"
"1.150","0.0768","14","0.0000","0.0000","9.9836","95.9581","0.0000","31.5350","26.8000","0.1700","10000.0000","45.39192309","-75.69653740"
