"Format","AiM CSV File"
"Session","45.392°N, 75.696°W"
"Vehicle","GG25"
"Racer","Faran"
"Championship","P7"
"Comment","arb 90 degrees 
times:
"
"Date","Saturday, August 16, 2025"
"Time","5:38 PM"
"Sample Rate","20"
"Duration","149"
"Segment","Session"
"Beacon Markers","149"
"Segment Times","2:29.000"

"Time","GPS Speed","GPS Nsat","GPS LatAcc","GPS LonAcc","GPS Slope","GPS Heading","GPS Gyro","GPS Altitude","GPS PosAccuracy","GPS SpdAccuracy","GPS Radius","GPS Latitude","GPS Longitude"
"s","km/h"," ","g","g","deg","deg","deg/s","m","mm","km/h","m","deg","deg"

"0.000","0.3012","9","0.0000","0.0000","-7.4142","49.6975","0.0000","49.3223","92.8000","0.3100","10000.0000","45.39190232","-75.69636080"
"0.050","0.3012","9","0.0000","0.0000","-7.4142","49.6975","0.0000","49.3223","92.8000","0.3100","10000.0000","45.39190232","-75.69636080"
"0.100","0.3012","9","0.0000","0.0000","-7.4142","49.6975","0.0000","49.3223","92.8000","0.3100","10000.0000","45.39190232","-75.69636080"
"0.150","0.3012","9","0.0000","0.0000","-7.4142","49.6975","0.0000","49.3223","92.8000","0.3100","10000.0000","45.39190232","-75.69636080"
"0.200","0.3012","9","0.0000","0.0000","-7.4142","49.6975","0.0000","49.3223","92.8000","0.3100","10000.0000","45.39190232","-75.69636080"
"0.250","0.3012","9","0.0000","0.0000","-7.4142","49.6975","0.0000","49.3223","92.8000","0.3100","10000.0000","45.39190232","-75.69636080"
"0.300","0.2953","9","0.0000","0.0000","-5.8407","56.5929","0.0000","49.3246","92.4880","0.3052","10000.0000","45.39190230","-75.69636112"
"0.350","0.2829","9","0.0000","0.0000","-2.5627","70.9584","0.0000","49.3296","91.8380","0.2952","10000.0000","45.39190225","-75.69636181"
"0.400","0.2613","9","0.0000","0.0000","-4.0335","60.2440","0.0000","49.3231","91.2120","0.2828","10000.0000","45.39190219","-75.69636256"
"0.450","0.2295","9","0.0000","0.0000","-10.6490","22.3598","0.0000","49.3044","90.6120","0.2678","10000.0000","45.39190210","-75.69636340"
"0.500","0.1741","9","0.0000","0.0000","-19.6228","-7.5363","0.0000","49.2816","90.0120","0.2456","10000.0000","45.39190205","-75.69636428"
"0.550","0.0930","9","0.0000","0.0000","-31.1517","-28.7786","0.0000","49.2544","89.4120","0.2156","10000.0000","45.39190205","-75.69636521"
"0.600","0.0960","9","0.0000","0.0000","-30.5306","-55.5451","0.0000","49.2263","88.8120","0.2240","10000.0000","45.39190205","-75.69636619"
"0.650","0.1899","9","0.0000","0.0000","-16.7470","-88.2963","0.0000","49.1973","88.2120","0.2740","10000.0000","45.39190205","-75.69636724"
"0.700","0.2467","9","0.0000","0.0000","-10.0897","-113.3736","0.0000","49.1694","87.6360","0.3048","10000.0000","45.39190199","-75.69636822"
"0.750","0.2632","9","0.0000","0.0000","-11.1525","-130.1377","0.0000","49.1427","87.0860","0.3148","10000.0000","45.39190185","-75.69636912"
"0.800","0.2773","9","0.0000","0.0000","-10.7837","-117.0908","0.0000","49.1266","86.5600","0.2936","10000.0000","45.39190177","-75.69637000"
"0.850","0.2887","9","0.0000","0.0000","-8.8639","-71.7487","0.0000","49.1220","86.0600","0.2386","10000.0000","45.39190174","-75.69637085"
"0.900","0.2705","9","0.0000","0.0000","-9.3611","-45.4620","0.0000","49.1080","85.5600","0.2100","10000.0000","45.39190168","-75.69637175"
"0.950","0.2201","9","0.0000","0.0000","-12.4766","-39.8185","0.0000","49.0840","85.0600","0.2100","10000.0000","45.39190158","-75.69637271"
"1.000","0.2380","9","0.0000","0.0000","-13.0024","-35.4308","0.0000","49.0634","84.5840","0.2124","10000.0000","45.39190148","-75.69637368"
"1.050","0.3298","9","0.0000","0.0000","-10.7227","-32.4034","0.0000","49.0463","84.1340","0.2174","10000.0000","45.39190138","-75.69637465"
"1.100","0.3824","9","0.0000","0.0000","-9.5886","-15.2514","0.0000","49.0098","83.6840","0.2440","10000.0000","45.39190133","-75.69637554"
"1.150","0.3924","9","0.0000","0.0000","-9.6955","17.2022","0.0000","48.9522","83.2340","0.2940","10000.0000","45.39190135","-75.69637633"
