"Format","AiM CSV File"
"Session","45.392°N, 75.696°W"
"Vehicle","GG25"
"Racer","Ben"
"Championship","P7"
"Comment","6 cones 30ft per
90 degree arb
(low fuel runs) {
6.90
6.38
6.98
}
6.78
6.38
6.86"
"Date","Saturday, August 16, 2025"
"Time","2:24 PM"
"Sample Rate","20"
"Duration","86"
"Segment","Session"
"Beacon Markers","86"
"Segment Times","1:26.000"

"Time","GPS Speed","GPS Nsat","GPS LatAcc","GPS LonAcc","GPS Slope","GPS Heading","GPS Gyro","GPS Altitude","GPS PosAccuracy","GPS SpdAccuracy","GPS Radius","GPS Latitude","GPS Longitude"
"s","km/h"," ","g","g","deg","deg","deg/s","m","mm","km/h","m","deg","deg"

"0.000","0.5589","15","0.0000","0.0000","79.5598","161.0989","0.0000","33.3922","38.2000","0.2000","10000.0000","45.39173436","-75.69676669"
"0.050","0.5589","15","0.0000","0.0000","79.5598","161.0989","0.0000","33.3922","38.2000","0.2000","10000.0000","45.39173436","-75.69676669"
"0.100","0.5589","15","0.0000","0.0000","79.5598","161.0989","0.0000","33.3922","38.2000","0.2000","10000.0000","45.39173436","-75.69676669"
"0.150","0.5589","15","0.0000","0.0000","79.5598","161.0989","0.0000","33.3922","38.2000","0.2000","10000.0000","45.39173436","-75.69676669"
"0.200","0.5589","15","0.0000","0.0000","79.5598","161.0989","0.0000","33.3922","38.2000","0.2000","10000.0000","45.39173436","-75.69676669"
"0.250","0.5589","15","0.0000","0.0000","79.5598","161.0989","0.0000","33.3922","38.2000","0.2000","10000.0000","45.39173436","-75.69676669"
"0.300","0.5414","15","0.0000","0.0000","77.9446","76.2925","0.0000","33.3897","38.1620","0.1962","10000.0000","45.39173443","-75.69676687"
"0.350","0.5184","15","0.0000","0.0000","75.8194","-35.2950","0.0000","33.3863","38.1120","0.1912","10000.0000","45.39173453","-75.69676710"
"0.400","0.5273","15","0.0000","0.0000","69.7122","-56.8201","0.0000","33.3883","38.0620","0.1938","10000.0000","45.39173462","-75.69676734"
"0.450","0.5462","15","0.0000","0.0000","62.3476","-49.9045","0.0000","33.3920","38.0120","0.1988","10000.0000","45.39173471","-75.69676759"
"0.500","0.5172","15","0.0000","0.0000","68.9264","-44.0431","0.0000","33.3803","37.9620","0.1924","10000.0000","45.39173475","-75.69676777"
"0.550","0.4730","15","0.0000","0.0000","79.9084","-38.5148","0.0000","33.3638","37.9120","0.1824","10000.0000","45.39173478","-75.69676792"
"0.600","0.4347","15","0.0000","0.0000","84.4017","-13.3677","0.0000","33.3480","37.8240","0.1838","10000.0000","45.39173484","-75.69676801"
"0.650","0.3982","15","0.0000","0.0000","86.8460","17.9747","0.0000","33.3325","37.7240","0.1888","10000.0000","45.39173492","-75.69676809"
"0.700","0.3829","15","0.0000","0.0000","82.6405","13.6638","0.0000","33.3216","37.6620","0.1900","10000.0000","45.39173500","-75.69676823"
"0.750","0.3744","15","0.0000","0.0000","76.3351","-1.9062","0.0000","33.3122","37.6120","0.1900","10000.0000","45.39173509","-75.69676838"
"0.800","0.3886","15","0.0000","0.0000","68.4868","-26.9459","0.0000","33.3081","37.5620","0.1938","10000.0000","45.39173517","-75.69676855"
"0.850","0.4100","15","0.0000","0.0000","60.1513","-54.9761","0.0000","33.3057","37.5120","0.1988","10000.0000","45.39173526","-75.69676872"
"0.900","0.3969","15","0.0000","0.0000","61.4108","-77.6580","0.0000","33.3091","37.4620","0.1962","10000.0000","45.39173529","-75.69676886"
"0.950","0.3729","15","0.0000","0.0000","65.7002","-98.6510","0.0000","33.3143","37.4120","0.1912","10000.0000","45.39173531","-75.69676900"
"1.000","0.3756","15","0.0000","0.0000","65.4460","-73.3288","0.0000","33.3170","37.3620","0.1938","10000.0000","45.39173540","-75.69676912"
"1.050","0.3867","15","0.0000","0.0000","63.7570","-33.3808","0.0000","33.3190","37.3120","0.1988","10000.0000","45.39173551","-75.69676923"
"1.100","0.3796","15","0.0000","0.0000","72.7510","39.1270","0.0000","33.3261","37.2620","0.1962","10000.0000","45.39173552","-75.69676937"
"1.150","0.3667","15","0.0000","0.0000","85.1186","121.9168","0.0000","33.3347","37.2120","0.1912","10000.0000","45.39173551","-75.69676953"
"1.200","0.3901","15","0.0000","0.0000","75.8897","144.9983","0.0000","33.3446","37.1620","0.2090","10000.0000","45.39173548","-75.69676959"
"1.250","0.4251","15","0.0000","0.0000","59.8409","149.2245","0.0000","33.3550","37.1120","0.2340","10000.0000","45.39173545","-75.69676962"
"1.300","0.4161","15","0.0000","0.0000","57.5344","144.2407","0.0000","33.3529","37.0620","0.2362","10000.0000","45.39173549","-75.69676975"
"1.350","0.3932","15","0.0000","0.0000","59.5677","136.3484","0.0000","33.3469","37.0120","0.2312","10000.0000","45.39173554","-75.69676992"
"1.400","0.3589","15","0.0000","0.0000","64.4019","63.1039","0.0000","33.3462","37.0000","0.2148","10000.0000","45.39173560","-75.69677011"
"1.450","0.3209","15","0.0000","0.0000","70.1206","-30.7782","0.0000","33.3472","37.0000","0.1948","10000.0000","45.39173565","-75.69677029"
"1.500","0.3361","15","0.0000","0.0000","66.0697","-8.7980","0.0000","33.3547","36.9620","0.1976","10000.0000","45.39173570","-75.69677040"
"1.550","0.3682","15","0.0000","0.0000","58.9336","49.7703","0.0000","33.3644","36.9120","0.2076","10000.0000","45.39173574","-75.69677047"
"1.600","0.3841","15","0.0000","0.0000","56.0489","65.7986","0.0000","33.3740","36.8620","0.2100","10000.0000","45.39173578","-75.69677055"
"1.650","0.3950","15","0.0000","0.0000","54.5068","68.3932","0.0000","33.3837","36.8120","0.2100","10000.0000","45.39173582","-75.69677063"
"1.700","0.4238","15","0.0000","0.0000","49.3667","91.1586","0.0000","33.3931","36.7620","0.2366","10000.0000","45.39173576","-75.69677073"
"1.750","0.4583","15","0.0000","0.0000","43.0904","120.2937","0.0000","33.4025","36.7120","0.2716","10000.0000","45.39173567","-75.69677084"
"1.800","0.4404","15","0.0000","0.0000","44.2559","126.2030","0.0000","33.4094","36.6620","0.2724","10000.0000","45.39173571","-75.69677091"
"1.850","0.4059","15","0.0000","0.0000","47.7715","124.7779","0.0000","33.4157","36.6120","0.2624","10000.0000","45.39173578","-75.69677097"
"1.900","0.3964","15","0.0000","0.0000","51.7542","90.2218","0.0000","33.4346","36.6000","0.2372","10000.0000","45.39173588","-75.69677111"
"1.950","0.3948","15","0.0000","0.0000","55.8843","45.2032","0.0000","33.4574","36.6000","0.2072","10000.0000","45.39173599","-75.69677126"
"2.000","0.3981","15","0.0000","0.0000","56.5264","76.4859","0.0000","33.4674","36.5620","0.2152","10000.0000","45.39173598","-75.69677137"
"2.050","0.4029","15","0.0000","0.0000","56.0669","131.8637","0.0000","33.4734","36.5120","0.2352","10000.0000","45.39173592","-75.69677146"
"2.100","0.3979","15","0.0000","0.0000","53.9085","133.1580","0.0000","33.4794","36.4620","0.2362","10000.0000","45.39173592","-75.69677155"
"2.150","0.3897","15","0.0000","0.0000","51.2136","117.3733","0.0000","33.4855","36.4120","0.2312","10000.0000","45.39173593","-75.69677162"
"2.200","0.3673","15","0.0000","0.0000","56.6543","113.7972","0.0000","33.4850","36.4000","0.2224","10000.0000","45.39173595","-75.69677178"
"2.250","0.3403","15","0.0000","0.0000","64.6642","114.0766","0.0000","33.4824","36.4000","0.2124","10000.0000","45.39173597","-75.69677197"
"2.300","0.3324","15","0.0000","0.0000","68.0677","2.6427","0.0000","33.4911","36.3620","0.2062","10000.0000","45.39173599","-75.69677213"
"2.350","0.3304","15","0.0000","0.0000","70.0164","-144.0689","0.0000","33.5032","36.3120","0.2012","10000.0000","45.39173601","-75.69677229"
"2.400","0.3716","15","0.0000","0.0000","62.3539","-176.7493","0.0000","33.5240","36.3000","0.2152","10000.0000","45.39173599","-75.69677242"
"2.450","0.4263","15","0.0000","0.0000","51.6562","-173.4197","0.0000","33.5474","36.3000","0.2352","10000.0000","45.39173597","-75.69677254"
"2.500","0.4389","15","0.0000","0.0000","47.3098","-172.8466","0.0000","33.5569","36.2620","0.2438","10000.0000","45.39173593","-75.69677269"
