"Format","AiM CSV File"
"Session","45.392°N, 75.696°W"
"Vehicle","GG25"
"Racer","Faran"
"Championship","P7"
"Comment","arb 90 degrees 
times:
"
"Date","Saturday, August 16, 2025"
"Time","5:43 PM"
"Sample Rate","20"
"Duration","142"
"Segment","Session"
"Beacon Markers","142"
"Segment Times","2:22.000"

"Time","GPS Speed","GPS Nsat","GPS LatAcc","GPS LonAcc","GPS Slope","GPS Heading","GPS Gyro","GPS Altitude","GPS PosAccuracy","GPS SpdAccuracy","GPS Radius","GPS Latitude","GPS Longitude"
"s","km/h"," ","g","g","deg","deg","deg/s","m","mm","km/h","m","deg","deg"

"1.950","0.1089","12","0.0000","0.0000","-55.7155","-81.2203","0.0000","28.6141","39.7360","0.1432","10000.0000","45.39185922","-75.69644652"
"2.000","0.1119","12","0.0000","0.0000","-58.5870","-15.9339","0.0000","28.6220","39.5360","0.1532","10000.0000","45.39185927","-75.69644672"
"2.050","0.1272","12","0.0000","0.0000","-55.2590","49.4471","0.0000","28.6293","39.3360","0.1648","10000.0000","45.39185929","-75.69644689"
"2.100","0.1688","12","0.0000","0.0000","-38.7571","115.0292","0.0000","28.6353","39.1360","0.1798","10000.0000","45.39185924","-75.69644698"
"2.150","0.1966","12","0.0000","0.0000","-28.0857","148.5615","0.0000","28.6365","38.9520","0.1884","10000.0000","45.39185921","-75.69644708"
"2.200","0.1950","12","0.0000","0.0000","-29.8037","113.9878","0.0000","28.6278","38.8020","0.1834","10000.0000","45.39185922","-75.69644719"
"2.250","0.1892","12","0.0000","0.0000","-32.0383","61.5732","0.0000","28.6255","38.6520","0.1768","10000.0000","45.39185922","-75.69644733"
"2.300","0.1748","12","0.0000","0.0000","-35.3704","-28.7532","0.0000","28.6366","38.5020","0.1668","10000.0000","45.39185918","-75.69644757"
"2.350","0.1650","12","0.0000","0.0000","-37.6363","-90.1752","0.0000","28.6469","38.3520","0.1600","10000.0000","45.39185913","-75.69644778"
"2.400","0.1650","12","0.0000","0.0000","-37.6363","-90.1752","0.0000","28.6554","38.2020","0.1600","10000.0000","45.39185905","-75.69644795"
"2.450","0.1679","12","0.0000","0.0000","-35.6032","-94.4535","0.0000","28.6628","38.0520","0.1632","10000.0000","45.39185899","-75.69644812"
"2.500","0.1772","12","0.0000","0.0000","-29.2501","-107.8232","0.0000","28.6679","37.9020","0.1732","10000.0000","45.39185894","-75.69644827"
"2.550","0.1671","12","0.0000","0.0000","-32.1788","-72.4595","0.0000","28.6713","37.7520","0.1720","10000.0000","45.39185889","-75.69644838"
"2.600","0.1155","12","0.0000","0.0000","-54.8313","66.4625","0.0000","28.6711","37.6020","0.1470","10000.0000","45.39185883","-75.69644840"
"2.650","0.0892","12","0.0000","0.0000","-67.9505","129.6054","0.0000","28.6712","37.4520","0.1332","10000.0000","45.39185876","-75.69644839"
"2.700","0.1163","12","0.0000","0.0000","-60.8111","31.7180","0.0000","28.6719","37.3020","0.1432","10000.0000","45.39185869","-75.69644835"
"2.750","0.1347","12","0.0000","0.0000","-53.4074","-18.1916","0.0000","28.6716","37.1520","0.1548","10000.0000","45.39185863","-75.69644830"
"2.800","0.1347","12","0.0000","0.0000","-45.4422","33.8516","0.0000","28.6689","37.0020","0.1698","10000.0000","45.39185859","-75.69644823"
"2.850","0.1339","12","0.0000","0.0000","-38.1067","67.3357","0.0000","28.6695","36.8520","0.1816","10000.0000","45.39185856","-75.69644818"
"2.900","0.1315","12","0.0000","0.0000","-32.1096","61.3820","0.0000","28.6774","36.7020","0.1866","10000.0000","45.39185855","-75.69644813"
"2.950","0.1335","12","0.0000","0.0000","-29.7485","29.1984","0.0000","28.6844","36.5520","0.1868","10000.0000","45.39185855","-75.69644815"
"3.000","0.1449","12","0.0000","0.0000","-35.1138","-58.7239","0.0000","28.6896","36.4020","0.1768","10000.0000","45.39185857","-75.69644828"
"3.050","0.1619","12","0.0000","0.0000","-37.2995","-90.7806","0.0000","28.6932","36.2680","0.1732","10000.0000","45.39185860","-75.69644837"
"3.100","0.1905","12","0.0000","0.0000","-32.7284","-4.1230","0.0000","28.6933","36.1680","0.1832","10000.0000","45.39185866","-75.69644836"
"3.150","0.2008","12","0.0000","0.0000","-30.8243","39.6636","0.0000","28.6955","36.0520","0.1868","10000.0000","45.39185873","-75.69644837"
"3.200","0.1722","12","0.0000","0.0000","-34.5876","-7.6508","0.0000","28.7017","35.9020","0.1768","10000.0000","45.39185880","-75.69644843"
"3.250","0.1571","12","0.0000","0.0000","-36.7182","-51.0369","0.0000","28.7045","35.7680","0.1700","10000.0000","45.39185884","-75.69644849"
"3.300","0.1707","12","0.0000","0.0000","-35.3792","-86.0754","0.0000","28.7001","35.6680","0.1700","10000.0000","45.39185882","-75.69644855"
"3.350","0.1712","12","0.0000","0.0000","-36.1101","-76.5091","0.0000","28.7005","35.5680","0.1716","10000.0000","45.39185881","-75.69644860"
"3.400","0.1435","12","0.0000","0.0000","-41.2397","27.8424","0.0000","28.7110","35.4680","0.1766","10000.0000","45.39185884","-75.69644862"
"3.450","0.1263","12","0.0000","0.0000","-41.4934","96.9897","0.0000","28.7212","35.3520","0.1816","10000.0000","45.39185888","-75.69644865"
"3.500","0.1313","12","0.0000","0.0000","-31.3859","91.3281","0.0000","28.7309","35.2020","0.1866","10000.0000","45.39185892","-75.69644873"
"3.550","0.1369","12","0.0000","0.0000","-26.6990","79.4252","0.0000","28.7383","35.0680","0.1884","10000.0000","45.39185896","-75.69644880"
"3.600","0.1438","12","0.0000","0.0000","-33.5309","54.2596","0.0000","28.7410","34.9680","0.1834","10000.0000","45.39185900","-75.69644886"
"3.650","0.1376","12","0.0000","0.0000","-39.3628","8.5254","0.0000","28.7478","34.8680","0.1768","10000.0000","45.39185902","-75.69644896"
"3.700","0.1036","12","0.0000","0.0000","-43.0698","-80.9168","0.0000","28.7634","34.7680","0.1668","10000.0000","45.39185901","-75.69644913"
"3.750","0.0849","12","0.0000","0.0000","-45.5587","-90.2595","0.0000","28.7746","34.6680","0.1600","10000.0000","45.39185901","-75.69644929"
"3.800","0.0986","12","0.0000","0.0000","-45.4594","70.6092","0.0000","28.7764","34.5680","0.1600","10000.0000","45.39185906","-75.69644941"
"3.850","0.1123","12","0.0000","0.0000","-44.5333","162.2785","0.0000","28.7797","34.4680","0.1648","10000.0000","45.39185911","-75.69644952"
"3.900","0.1256","12","0.0000","0.0000","-41.8503","106.8990","0.0000","28.7859","34.3680","0.1798","10000.0000","45.39185919","-75.69644958"
"3.950","0.1369","11","0.0000","0.0000","-38.9514","74.0386","0.0000","28.7930","34.2680","0.1900","10000.0000","45.39185927","-75.69644966"
"4.000","0.1438","11","0.0000","0.0000","-35.5939","89.0312","0.0000","28.8020","34.1680","0.1900","10000.0000","45.39185938","-75.69644978"
"4.050","0.1438","11","0.0000","0.0000","-36.4335","106.1723","0.0000","28.8053","34.0680","0.1852","10000.0000","45.39185948","-75.69644990"
"4.100","0.1293","11","0.0000","0.0000","-46.1920","127.8788","0.0000","28.7968","33.9680","0.1702","10000.0000","45.39185956","-75.69644999"
"4.150","0.1376","11","0.0000","0.0000","-48.2537","139.0958","0.0000","28.7938","33.8680","0.1664","10000.0000","45.39185963","-75.69645010"
"4.200","0.1946","11","0.0000","0.0000","-33.9596","128.0226","0.0000","28.8026","33.7680","0.1864","10000.0000","45.39185967","-75.69645024"
"4.250","0.2197","11","0.0000","0.0000","-27.4985","101.2741","0.0000","28.8089","33.6840","0.1952","10000.0000","45.39185972","-75.69645039"
"4.300","0.1773","11","0.0000","0.0000","-37.6825","41.2155","0.0000","28.8098","33.6340","0.1802","10000.0000","45.39185978","-75.69645058"
"4.350","0.1455","11","0.0000","0.0000","-49.6125","23.6433","0.0000","28.8108","33.5680","0.1636","10000.0000","45.39185984","-75.69645076"
"4.400","0.1361","11","0.0000","0.0000","-65.2530","96.3551","0.0000","28.8117","33.4680","0.1436","10000.0000","45.39185989","-75.69645095"
"4.450","0.1510","11","0.0000","0.0000","-67.0612","111.6787","0.0000","28.8163","33.3680","0.1396","10000.0000","45.39185995","-75.69645120"
"4.500","0.2171","11","0.0000","0.0000","-39.4759","5.0524","0.0000","28.8286","33.2680","0.1696","10000.0000","45.39186003","-75.69645160"
"4.550","0.2517","11","0.0000","0.0000","-23.1769","-80.7279","0.0000","28.8347","33.1840","0.1900","10000.0000","45.39186009","-75.69645196"
"4.600","0.2192","11","0.0000","0.0000","-30.8614","-122.2106","0.0000","28.8277","33.1340","0.1900","10000.0000","45.39186009","-75.69645221"
"4.650","0.1972","11","0.0000","0.0000","-36.0868","-150.4189","0.0000","28.8251","33.0680","0.1916","10000.0000","45.39186011","-75.69645246"
"4.700","0.1972","11","0.0000","0.0000","-36.0868","-150.4189","0.0000","28.8322","32.9680","0.1966","10000.0000","45.39186017","-75.69645272"
"4.750","0.2043","11","0.0000","0.0000","-34.8355","-142.3920","0.0000","28.8378","32.8840","0.1984","10000.0000","45.39186023","-75.69645300"
"4.800","0.2264","11","0.0000","0.0000","-30.9251","-117.3080","0.0000","28.8405","32.8340","0.1934","10000.0000","45.39186027","-75.69645333"
"4.850","0.2507","11","0.0000","0.0000","-26.7797","-102.1495","0.0000","28.8444","32.7840","0.1932","10000.0000","45.39186030","-75.69645364"
"4.900","0.2795","11","0.0000","0.0000","-22.1353","-108.0828","0.0000","28.8513","32.7340","0.2032","10000.0000","45.39186030","-75.69645392"
"4.950","0.2776","10","0.0000","0.0000","-21.9625","-108.6067","0.0000","28.8555","32.6680","0.2036","10000.0000","45.39186032","-75.69645414"
"5.000","0.2106","10","0.0000","0.0000","-31.2921","-97.6356","0.0000","28.8539","32.5680","0.1836","10000.0000","45.39186040","-75.69645425"
"5.050","0.1817","10","0.0000","0.0000","-33.9635","-100.7323","0.0000","28.8564","32.4840","0.1780","10000.0000","45.39186044","-75.69645440"
"5.100","0.2339","10","0.0000","0.0000","-22.4861","-133.7231","0.0000","28.8676","32.4340","0.2030","10000.0000","45.39186041","-75.69645463"
"5.150","0.2404","10","0.0000","0.0000","-23.2801","-151.4491","0.0000","28.8758","32.3840","0.2072","10000.0000","45.39186040","-75.69645483"
"5.200","0.1498","10","0.0000","0.0000","-50.1507","-136.7371","0.0000","28.8776","32.3340","0.1672","10000.0000","45.39186044","-75.69645495"
"5.250","0.0985","10","0.0000","0.0000","-62.1882","-119.1304","0.0000","28.8769","32.2840","0.1464","10000.0000","45.39186049","-75.69645509"
"5.300","0.1308","10","0.0000","0.0000","-42.7054","-95.3723","0.0000","28.8709","32.2340","0.1664","10000.0000","45.39186055","-75.69645526"
"5.350","0.1690","10","0.0000","0.0000","-27.2734","-80.2286","0.0000","28.8705","32.1840","0.1832","10000.0000","45.39186061","-75.69645544"
"5.400","0.2199","10","0.0000","0.0000","-20.4496","-83.3907","0.0000","28.8820","32.1340","0.1932","10000.0000","45.39186070","-75.69645564"
"5.450","0.2329","10","0.0000","0.0000","-17.9859","-96.6716","0.0000","28.8904","32.0680","0.2000","10000.0000","45.39186077","-75.69645582"
"5.500","0.1654","10","0.0000","0.0000","-24.7877","-131.4552","0.0000","28.8922","31.9680","0.2000","10000.0000","45.39186082","-75.69645594"
"5.550","0.1144","10","0.0000","0.0000","-33.0305","-110.0961","0.0000","28.8933","31.8840","0.1968","10000.0000","45.39186090","-75.69645604"
